verb,overall_occurrences,Levin_classes,simple_sel,pmw_count,number_withOUT_obj,objectless_sentences,percent_implicit_obj,sents_WITH_obj,most_common_objs,number_with_obj
make,44.0,"build(Verbs of Creation and Transformation),",0.25,5368,14.0,"[(I pretty much *only* order stuff either next-day or same-day, which is what makes Prime worth the cost)  , That makes me someone who does not have to deal with \""oh, Well to be fair, I also don't have children, which makes me mobil...., Thing is, what I wrote should not make you feel bad., You also need to find a way to make it work., ""You didn't make me feel bad or hurt my feelings., Understanding what drives a brand, and how to use the true customer experience (in-the-moment) will make good companies GREAT and GREAT companies EXCEPTIONAL!, ""The obvious strategy to sell anything online is to have a catchy online presence such as a website/webpage made., The more people you sign up and the more people they sign up, the more money you make., ""pretty common practice to build seller rating""
 Aside from the general psychological effect of making the seller more appealing/trustworthy to buyers, are there any concrete benefits of such a practice, such as a ranking boost akin to search engine optimization for example?, This is not easy and requires a lot of time and dedication to make it work., ""It makes me cringe to think that somewhere out there there are people working for basically slave wages so that Americans can have cheap hourglasses for our Boggle games.""
  , Does that make you cringe?, but i was afraid he might try something like this""
  ""Wait, where do you get American-made clothing?]",0.4117647058823529,"[Anyone technical might write you off, if you make the comparison., You can't make ie to upper management or mid level management without a good team and learning from them., That little word \""should\"" makes all the difference., if you spam a lot, you might make a billion dollars like zuckerberg., i am just saying, spamming worked for zuckerberg -- who was simply trying to crete an \""online yearbook\"", reference to my opinion about \""higher education\"": it only makes sense if it's essentially free, as it should be.), Make your reservation now for a care free travel experience! ""
  , ""Motonews.ru -   ,      ,   , ,      ""[How to Make Money on YouTube by Selling Your ""[How to Make Money Online through Affiliate, ""Motonews.ru -   ,      ,   , ,      ""[How to Make Money on YouTube by Selling Your ""[How to Make Money Online through Affiliate, ""It is a pyramid scheme because to make any money, you've got to sign other people up., To make more money, they have to sign people up., It will make money for you in the short term, but the amount of money made is nowhere near the effort you have to put in to get it., It will make money for you in the short term, but the amount of money made is nowhere near the effort you have to put in to get it., In fact, if you put just as much effort into bettering yourself or into a real job, you'll make more and get more out of life., ""As a former farm kid that has seen a lot of success, let me make a farm analogy for you., So I usually buy Union mad American made goods., I don't consider my $30/hr to be slave labor, even knowing that in Norway a factory worker like me is making $40/hr.
  , ""I buy through the United Steelworker's online clothes shop, which guarantees to only sell union-American made products., They are there to make as much money as the can., I never buy anything online unless I can make a purchase through paypal., That means a single worker can make 240+ an hour... if they profit 25 cents each, that means that worker is producing $60 an hour profit.
  ]","money(5),online(2),sense(1),reservation(1),purchase(1),product(1),more(1),ie(1),good(1),dollar(1),difference(1),comparison(1),analogy(1),40/hr(1),240(1),",20.0
hand,1.0,"send(Verbs of Sending and Carrying),",,122,1.0,"[""It probably takes a grand total of 15 seconds to hand assemble one of these things.]",1.0,[],,0.0
spread,1.0,"spray/load(Verbs of Putting),",,122,1.0,"[""Per capita is an average spread across an entire population.]",1.0,[],,0.0
save,3.0,"get(Verbs of Change of Possession),",1.0,366,0.0,[],0.0,"[They save up enough money to buy houses back home, put their kids through university, etc., They come to the USA illegally, work for a few years to save up as much money as possible, and then go back to their countries....  ]","money(2),",2.0
post,6.0,"send(Verbs of Sending and Carrying),",0.667,732,2.0,"[""Wobees offers free classified posting in UAE and its local area including Dubai, Abu Dhabi and Al Ain.
  , ""First, you have a bit of a good start by simply having the incentive to post here.]",0.4,"[""Why do people think /r/business it the place to post political blogspam tangentially related to business?""
  , Some will ask for it until you post a good rating., Some have gone as far as offering a refund or discount on the product after you post a good rating for the seller and product.
  ]","rating(2),blogspam(1),",3.0
hear,1.0,"see(Verbs of Perception),",1.0,122,0.0,[],0.0,"[I have read hundreds of articles on it and have yet to hear one.""
  ]","one(1),",1.0
toss,1.0,"throw(Verbs of Throwing),preparing(Verbs of Creation and Transformation),",1.0,122,0.0,[],0.0,"[""
 Time to toss you and rest of the shills outta here!""
 ]","-PRON-(1),",1.0
ship,8.0,"send(Verbs of Sending and Carrying),",0.5,976,2.0,"[""And Folks, this is why I try to get my presents shipped a week earlier than Christmas or even sooner., Cost to ship for the padded envelope ranges $1.69 to $1.86 and comes with free Delivery Confirmation service  same rate to ALL ZONES, including Alaska and Hawaii, with no bullshit distinction between so-called 'Business' and 'Residential' addresses.]",0.25,"[Do you only ship very small lightweight items?, ""I'm guessing you ship really small packages?, It costs me $9.88 to ship a 2lb package to a residence on the west coast with USPS and $8.75 with FedEx., I ship about 2000 packages a week.
 , If you ship 1000 orders you would need at least 2 of them to go missing to recoup your cost., the best was when this company selling fake goods shipped me a jersey 2 months late, and tried to blame it on Hurricane Sandy, even though the hurricane was before I ordered.]","package(3),order(1),item(1),-PRON-(1),",6.0
liquidate,1.0,"murder(Verbs of Killing),",1.0,122,0.0,[],0.0,"[They might just be using it to build reputation, or even liquidating an over supply.]","supply(1),",1.0
push,1.0,"funnel(Verbs of Putting),carry(Verbs of Sending and Carrying),",,122,1.0,"[""obviouse add, don't fall for it, the company pushed looks a bit scamy as well.""
 ]",1.0,[],,0.0
charge,1.0,"equip(Verbs of Change of Possession),",1.0,122,0.0,[],0.0,"[It's the same as First Class, they just charge more for it.. unless you have a very heavy shipment which can fit inside a flat-rate mailer, then it pays.]","more(1),",1.0
leave,6.0,"fulfilling(Verbs of Change of Possession),get(Verbs of Change of Possession),keep(Hold and Keep Verbs),inherently directed motion(Verbs of Motion),",0.5,732,2.0,"[""  I've had $1000+ packages left on my porch with no knock on the door by UPS., ""Because when a company takes money out of an employees check for unemployment it belongs to the employee even after they leave.
  ]",0.3333333333333333,"[I've $500 Signature on Delivery items left at my door (value declared), and I've $5 non-signature items that they'd refuse to leave at the door., I've $500 Signature on Delivery items left at my door (value declared), and I've $5 non-signature items that they'd refuse to leave at the door., The local USPS location where I mailed it from pretty much offered no help and left me on my own to figure out to threaten to file a claim.
 , Go report their harassment to paypal and ebay, and leave a bad review.""
 ]","that(2),review(1),-PRON-(1),",4.0
settle,1.0,"spray/load(Verbs of Putting),",,122,1.0,[already we settled on only having to pay for half the order.],1.0,[],,0.0
appeal,1.0,"appeal(Psych-Verbs),",,122,1.0,"[""
  ""USPS needs to get lobbyists, and also appeal to citizen's patriotism via a concerted small business campaign.]",1.0,[],,0.0
change,4.0,"exchange(Verbs of Change of Possession),turn(Verbs of Creation and Transformation),other change-of-state(Verbs of Change of State),",0.25,488,0.0,[],0.0,"[""Decide first if you want to get rich any old how, or if you want to create a startup that seeks to change the world., Arkk Solutions provides remarkable modified solutions for your financial data for you to change your statutory accounts into ixbrl., ""That's particularly stupid, because giving up your original citizenship doesn't immediately change your opinions about your original country., They quickly changed their mind when the media ran stories of a bunch of people who had their cards copied.
  ]","world(1),opinion(1),mind(1),account(1),",4.0
love,3.0,"admire(Psych-Verbs),",1.0,366,1.0,[I'd love to learn more.],0.5,"[I love documentaries so much.""]","documentary(1),",1.0
visit,5.0,"meet(Verbs of Social Interaction),",0.5,610,1.0,"[For more details, visit]",0.2,"[For information on best quality of Control Pest please visit www.pestcontrolindia.com., For more details about Commercial Pest Control in India please visit www.pestcontrolindia.com., As long as I generally don't need to visit an actual brickmortar post office itself, which feels akin to perhaps buying a loaf of bread in the former Soviet Union, all is well., When you have such a website, you need to get lots of people to visit it (get traffic for the site).]","www.pestcontrolindia.com(2),office(1),-PRON-(1),",4.0
can,52.0,"pocket(Verbs of Putting),",,6344,43.0,"[What can you actually do ?, Degree in marketing and managment, so.... what can you do ?, So you can be rich enough to start a non profit once you retire...  , Btw, I actually can afford to quit a job for something bugging me enough., In fact, one person can fill several roles in a team, or even in the company, at different levels., As an example, you can see our company structure at HolacracyOne: although it's accurate to say that there are no job titles and no managers, there are clearly defined roles., There is quite a bit more to it than what you can read in the news article... in case you wanna learn more, we give a free webinar on Jan 9 that clarifies.
 , I'm talking low level, small team managment here, since that will realisticly be the best you can get as an entry position., And you will be amazed how well you can get along with those nerds, while your collegues are ripping their hair out., You can't go into it with the mindset of \""I want to get into upper managment\"", go into it with the mindset of \""I want to do a good job, and I want to learn\"", and you will be fine., You can't make ie to upper management or mid level management without a good team and learning from them., ""Well, since you rhetorically called me a 5 year old and an ass now, I think I can savely say, you are not the most diplomatic person either., Otherwise people will never respect you, and without respect, you can not do your job., I think the fact that UPS and Fed Ex can handle the logistics necessary to deal with the increase in holiday volume is amazing. ""
 , In all seriousness, the only thing I would say is I hope you see that you can't judge someone because they are different then you.
  , We are a highly focused and specialized team of investment, marketing, leasing and management professionals at your full disposal so you can focus on what matters most. ""
  , And can't beat about $17 for two day delivery for whatever I can cram into a pretty good sized box., And can't beat about $17 for two day delivery for whatever I can cram into a pretty good sized box., You can call at (914) 288-6023 and fax at (866) 314-9739., You can send mail at info@realpropertymgt.com., The company also offers XBRL taggingso that you can tag and categorize your data into different groups., Then specify that USPS \""You\"" to write to your senator/congressman to stop starving USPS so that the 200 year old institution started by Benjamin Franklin can survive.
 , ""Google wantrepreneur and see how much of those traits you can identify with and how to fix them., Oversaturated niches are often a great way to go if you can bring in higher quality product and/or lower prices., I can say from experience that the actual number that go missing is well below 0.2%.""
 , It's the same as First Class, they just charge more for it.. unless you have a very heavy shipment which can fit inside a flat-rate mailer, then it pays., But for Federal Reserve, they can screw up the economy, but anyone can do that, duel citizenship wouldn't matter. ""
  , But for Federal Reserve, they can screw up the economy, but anyone can do that, duel citizenship wouldn't matter. ""
  , That website/webpage should also be e-commerce-enabled/have an online store i.e. people can use their credit cards, Paypal accounts etc., You can read the many articles on how to get traffic to your site online and try doing it yourself if you have time and would like to learn different online marketing methods or get help from an internet marketing company., Yes they do offer services, but many of these you can find for free without ever having to pay., ""Small business (with the right relationships) is where people can show real growth, adaptation and knowledge., ""It makes me cringe to think that somewhere out there there are people working for basically slave wages so that Americans can have cheap hourglasses for our Boggle games.""
  , They don't (and probably can't) go after someone who refunds a paypal purchase., ""It can be that easy., A guy can have 100,000 sales and like 60 negatives in the last month and still have a 99.9% rating., I can't find the same toughness in shirts in stores as the shirts I buy from them,, "" You can look at historical incomes in China and the breakdown between rural pay and factory pay., When you can barely afford enough rice to eat, those factory jobs are a lifesaver., I never buy anything online unless I can make a purchase through paypal., That means a single worker can make 240+ an hour... if they profit 25 cents each, that means that worker is producing $60 an hour profit.
  , ""But a $1000 3D printer can print it for (almost) free in just 39 minutes., ""Yeah, and they can't breathe their air, eat their crops, or drink their water.]",1.0,[],,0.0
handle,3.0,"hold(Hold and Keep Verbs),",0.5,366,0.0,[],0.0,"[It's government run and designed to handle sudden shifts and changes., I think the fact that UPS and Fed Ex can handle the logistics necessary to deal with the increase in holiday volume is amazing. ""
 ]","shift(1),logistic(1),",2.0
write,6.0,"scribble(Image Creation Verbs),performance(Verbs of Creation and Transformation),",0.667,732,2.0,"[Then specify that USPS \""You\"" to write to your senator/congressman to stop starving USPS so that the 200 year old institution started by Benjamin Franklin can survive.
 , I know a bit about all this because I myself have been doing sales/marketing writing for over a decade now, writing for different online marketing firms as well, and my sincere suggestion to you would be to go for a marketing firm that has a track record of increasing online sales of their clients using best practices if you find marketing your site online yourself time-consuming and/or difficult.]",0.4,"[Anyone technical might write you off, if you make the comparison., to be fair, anyone technical will write you off as soon as you tell them you have a degree in marketing and managment...., Thing is, what I wrote should not make you feel bad.]","-PRON-(2),what(1),",3.0
produce,1.0,"create(Verbs of Creation and Transformation),performance(Verbs of Creation and Transformation),",1.0,122,0.0,[],0.0,"[That means a single worker can make 240+ an hour... if they profit 25 cents each, that means that worker is producing $60 an hour profit.
  ]","60(1),",1.0
grow,2.0,"build(Verbs of Creation and Transformation),grow(Verbs of Creation and Transformation),",,244,2.0,"[I grew to really hate them., My only advice, if you believe that you are the game changer you are trying to come across as, find a small business and stick with it for 4-5 years while it grows and has success.
  ]",1.0,[],,0.0
stress,1.0,"butter(Verbs of Putting),",1.0,122,0.0,[],0.0,"[Beyond how some people want to believe, government handles stresses a LOT better than private business.
 ]","lot(1),",1.0
refund,1.0,"give(Verbs of Change of Possession),",1.0,122,0.0,[],0.0,[They don't (and probably can't) go after someone who refunds a paypal purchase.],"purchase(1),",1.0
mail,1.0,"send(Verbs of Sending and Carrying),",1.0,122,0.0,[],0.0,"[The local USPS location where I mailed it from pretty much offered no help and left me on my own to figure out to threaten to file a claim.
 ]","-PRON-(1),",1.0
drop,2.0,"putting-in-specified-direction(Verbs of Putting),calibratable change-of-state(Verbs of Change of State),",0.5,244,0.0,[],0.0,"[More like laziness since UPS and Fedex drop them when they aren't using Smartpost.""
  , For example, mandatory $20/week \""pickup fees\"" even though I didn't need pickups, as I would drop off my shipping at my private mailbox place every day.]","shipping(1),-PRON-(1),",2.0
increase,3.0,"other change-of-state(Verbs of Change of State),calibratable change-of-state(Verbs of Change of State),",1.0,366,1.0,[The difference increases as the weight goes up.],0.5,"[I know a bit about all this because I myself have been doing sales/marketing writing for over a decade now, writing for different online marketing firms as well, and my sincere suggestion to you would be to go for a marketing firm that has a track record of increasing online sales of their clients using best practices if you find marketing your site online yourself time-consuming and/or difficult.]","sale(1),",1.0
turn,4.0,"turn(Verbs of Creation and Transformation),",0.5,488,1.0,"[The only thing that I would add is that over the next couple of decades as we see the price of \""higher education\"" balloon out of control people will be turning to real-world knowledge/application and certifications and away from \""college\"" as we know it today.""
 ]",0.3333333333333333,"[And third (there are many others), I think that being honest, having moral courage, and truthful will also help turn you into a leader that you ultimately want to be.
  , Would Mr Amos turn any applicant away?]","applicant(1),-PRON-(1),",2.0
place,1.0,"putting(Verbs of Putting),",1.0,122,0.0,[],0.0,[UPS does not know what is inside of the box outside of what you place as the declared value.],"what(1),",1.0
open,1.0,"other change-of-state(Verbs of Change of State),",1.0,122,0.0,[],0.0,"[Going to a big corporation it wouldn't matter if you are God, if they hire you to open the door for the janitor that's the cookie cutter you fit into.
 ]","door(1),",1.0
copy,2.0,"scribble(Image Creation Verbs),transcribe(Image Creation Verbs),",,244,1.0,"[They quickly changed their mind when the media ran stories of a bunch of people who had their cards copied.
  ]",1.0,[],,0.0
appreciate,1.0,"admire(Psych-Verbs),calibratable change-of-state(Verbs of Change of State),",,122,1.0,[(I also appreciate beeing told this way too)  ],1.0,[],,0.0
take,15.0,"steal(Verbs of Removing),bring/take(Verbs of Sending and Carrying),performance(Verbs of Creation and Transformation),",0.2,1830,4.0,"[""The are big enough and tough enough to take on TWC and Comcast.
 , Amazon used USPS for all my Prime deliveries for all thanksgiving and black Friday orders because UPS decided to take black Friday and the subsequent weekend off., These idiots decided to take black Friday off!, I needed the jerseys to take to south america, which has unreasonably high import tariffs, not to mention shipping would be additional $50 bones.]",0.2857142857142857,"[Practically everyone has to take time off of work to drive to their USPS office and pick up their packages while UPS and FedEx deliveries arrive with no issue., ""USPS took 8 days to deliver a 2 day overnight package to me very recently., You want to get into managment, so, take it as a feedback., should you take my comments as a personal attack.
  , ""If you sent it Priority Mail, it should take 2-3 business days.
  , ""We pride ourselves in taking care of our customers; whether it is a single bouquet, a vase from our gift shop or an entire weddings worth of flowers, it's our pleasure to work with you., ""They should take a full-page advt boasting their record and asking for Patriotic Americans to try out USPS. ""
 , I would take the bus to work., ""Because when a company takes money out of an employees check for unemployment it belongs to the employee even after they leave.
  , ""It probably takes a grand total of 15 seconds to hand assemble one of these things.]","day(2),total(1),time(1),money(1),comment(1),care(1),bus(1),advt(1),-PRON-(1),",10.0
destroy,2.0,"destroy(Destroy Verbs),",0.5,244,0.0,[],0.0,"[If* you were an evil agent of that country, bent on destroying the US, you'd just give up your citizenship to that country, technically, in order to serve your goals., They want to destroy all competition from thousands of miles away. ""
 ]","us(1),competition(1),",2.0
drive,2.0,"drive(Verbs of Sending and Carrying),",1.0,244,1.0,[Practically everyone has to take time off of work to drive to their USPS office and pick up their packages while UPS and FedEx deliveries arrive with no issue.],0.5,"[Understanding what drives a brand, and how to use the true customer experience (in-the-moment) will make good companies GREAT and GREAT companies EXCEPTIONAL!]","brand(1),",1.0
cheat,1.0,"cheat(Verbs of Removing),",,122,1.0,"[""The fucking chinese cheat so bad.]",1.0,[],,0.0
boggle,1.0,"amuse(Psych-Verbs),",,122,1.0,[To imagine a Chinese factory as a step up in their jobs economy is a bit mind boggling.],1.0,[],,0.0
get,57.0,"get(Verbs of Change of Possession),",0.238,6954,20.0,"[So, you are fresh out of collage, you have no idea what you want to do in real life, but you do know, that you want to get into upper managment., That does not speak well for your desire to get into upper managment., You want to get into managment, so, take it as a feedback., I'm talking low level, small team managment here, since that will realisticly be the best you can get as an entry position., And you will be amazed how well you can get along with those nerds, while your collegues are ripping their hair out., You can't go into it with the mindset of \""I want to get into upper managment\"", go into it with the mindset of \""I want to do a good job, and I want to learn\"", and you will be fine., To learn how to get where I want., ""Decide first if you want to get rich any old how, or if you want to create a startup that seeks to change the world., If you just want to get rich then I don't really have any advice for you, justget a job or watch Glengarry Glenross or something., ""And Folks, this is why I try to get my presents shipped a week earlier than Christmas or even sooner., ""Get fully licensed and insured limo hire in Manchester at Earls Limousines., ""It is a pyramid scheme because to make any money, you've got to sign other people up., Eventually, everyone I know that has gotten involved in WUN, finds out (on their own) that it is not a sustainable model for income, and they get out., Eventually, everyone I know that has gotten involved in WUN, finds out (on their own) that it is not a sustainable model for income, and they get out., In fact, if you put just as much effort into bettering yourself or into a real job, you'll make more and get more out of life., To get to the barn, you have to step in some shit., University education is failing our students and does not get them ready for professional life., ""I was reading an editorial in my local paper today, and it was very interesting how the editor thought that when the times get tough, the tough take to the couch.""
  , you gotta be real careful on ebay who you buy from., Don't get what you mean by your first sentence... ""
  ]",0.4878048780487805,"[FedEx Express, however, hires couriers that get an hourly rate, regardless of how many packages they deliver., And seriously, I work as an engineer, if I got you, or someone similar, as a supervisor or someone that I'd have to give answers to, I would flat out quit., Things happen, it's a busy season, and I get that., ""Here are some tips on how to get the longest life out of home or office carpeting. ""
  , Also, it's nice to get it out of the way""
  ""Certs are normally a post grad thing, just something I would focus on instead of an MBA.
 , ""
  ""USPS needs to get lobbyists, and also appeal to citizen's patriotism via a concerted small business campaign., ""Fantastic article, the author gets it!!, When will we get an OBamaLetMeLivETheLifeOfRichPeopleByStickingMyHandOut?""
  , So either be the former or get the latter.""
  , When you have such a website, you need to get lots of people to visit it (get traffic for the site)., When you have such a website, you need to get lots of people to visit it (get traffic for the site)., You can read the many articles on how to get traffic to your site online and try doing it yourself if you have time and would like to learn different online marketing methods or get help from an internet marketing company., You can read the many articles on how to get traffic to your site online and try doing it yourself if you have time and would like to learn different online marketing methods or get help from an internet marketing company., If you are hiring services of an online marketing firm, then you must ensure the internet marketing company you select uses best online marketing practices, not black-hat online marketing techniques or you will get your website penalized by Google - which will drastically decrease your chances of getting traffic to your website/e-store., If you are hiring services of an online marketing firm, then you must ensure the internet marketing company you select uses best online marketing practices, not black-hat online marketing techniques or you will get your website penalized by Google - which will drastically decrease your chances of getting traffic to your website/e-store., It will make money for you in the short term, but the amount of money made is nowhere near the effort you have to put in to get it., And this is why they literally get thousands of applicants for a few open positions.  , but i was afraid he might try something like this""
  ""Wait, where do you get American-made clothing?, The biggest difference for a Chinese factory worker is that they will often come from some rural area, get a job in a factory, and live in factory dorms., They also jump around from factory to factory, trying to get jobs at the places that pay the most and have the easiest work - just as all workers do., ""Influencing the exchange rate might be one of the places to start.""
  ""...and you'll get it in three months.""
  ]","-PRON-(5),traffic(4),job(2),help(2),thousand(1),that(1),rate(1),obamaletmelivethelifeofrichpeoplebystickingmyhandout(1),lobbyist(1),life(1),latter(1),clothing(1),",21.0
pay,20.0,"give(Verbs of Change of Possession),",0.143,2440,6.0,"[It's the same as First Class, they just charge more for it.. unless you have a very heavy shipment which can fit inside a flat-rate mailer, then it pays., ""Correct, a percentage of their wages paid contribute to unemployment, though they may pay higher if a large percentage of their workers become unemployed.""
 , ""Correct, a percentage of their wages paid contribute to unemployment, though they may pay higher if a large percentage of their workers become unemployed.""
 , Yes they do offer services, but many of these you can find for free without ever having to pay., already we settled on only having to pay for half the order., In fact, many of the workers who have these factory jobs pay enough not just to provide for themselves, but also for their extended families.]",0.46153846153846156,"[""I'd almost be willing to pay more to avoid the junk mail, Saying that the Chinese are working for \""slave wages\"" is akin to saying that Americans are working for \""slave wages\"" because factory work in Norway pays $40/hour minimum., A factory job pays _a multiple_ of what farm work they would otherwise be doing pays., ""A debt collection agency goes after those who don't pay credit..., 80% of what you pay for items goes to the middle men who shuffle the crap from factory to your door., If they don't pay their rent, I'll need it to ruin their credit. ""
  , They also jump around from factory to factory, trying to get jobs at the places that pay the most and have the easiest work - just as all workers do.]","what(1),rent(1),most(1),more(1),minimum(1),credit(1),_(1),",7.0
check,2.0,"peer(Verbs of Perception),search(Verbs of Searching),",1.0,244,1.0,"[""Because when a company takes money out of an employees check for unemployment it belongs to the employee even after they leave.
  ]",0.5,"[""Yeah seriously check my post history.]","history(1),",1.0
