verb,Levin_classes,,,
asphyxiate,"poison(Verbs of Killing),",,,
assassinate,"murder(Verbs of Killing),",,,
assemble,"build(Verbs of Creation and Transformation),",,,
assert,"conjecture(Verbs with Predicative Complements),reflexive appearance(Verbs of Appearance, Disappearance, and Occurrence),",,,
assess,"assessment(Verbs of Assessment),price(Measure Verbs),",,,
assign,"future-having(Verbs of Change of Possession),",,,
associate,"amalgamate(Verbs of Combining and Attaching),",,,
assuage,"amuse(Psych-Verbs),",,,
assume,"declare(Verbs with Predicative Complements),",,,
astonish,"amuse(Psych-Verbs),",,,
astound,"amuse(Psych-Verbs),",,,
atrophy,"other change-of-state(Verbs of Change of State),",,,
attach,"shake(Verbs of Combining and Attaching),",,,
attenuate,"other change-of-state(Verbs of Change of State),",,,
attire,"being dressed(Verbs of Grooming and Bodily Care),",,,
audit,"assessment(Verbs of Assessment),",,,
autograph,"illustrate(Image Creation Verbs),",,,
avoid,"avoid(Avoid Verbs),",,,
avow,"declare(Verbs with Predicative Complements),",,,
awake,"other change-of-state(Verbs of Change of State),appear(Verbs of Appearance, Disappearance, and Occurrence),",,,
awaken,"other change-of-state(Verbs of Change of State),appear(Verbs of Appearance, Disappearance, and Occurrence),",,,
award,"future-having(Verbs of Change of Possession),",,,
awe,"amuse(Psych-Verbs),",,,
backbite,"judgment(Judgment Verbs),",,,
baffle,"amuse(Psych-Verbs),",,,
bag,"pocket(Verbs of Putting),",,,
bail,"wipe(Verbs of Removing),",,,
bait,"butter(Verbs of Putting),",,,
bake,"build(Verbs of Creation and Transformation),preparing(Verbs of Creation and Transformation),cook(Verbs of Change of State),",,,
balance,"other change-of-state(Verbs of Change of State),",,,
balk,"cheat(Verbs of Removing),",,,
balloon,"calibratable change-of-state(Verbs of Change of State),",,,
band,"shake(Verbs of Combining and Attaching),tape(Verbs of Combining and Attaching),",,,
bandage,"fill(Verbs of Putting),",,,
bang,"funnel(Verbs of Putting),hit(Verbs of Contact by Impact),non-agentive impact(Verbs of Contact by Impact),sound emission(Verbs of Emission),",,,
banish,"banish(Verbs of Removing),",,,
bank,"pocket(Verbs of Putting),",,,
baptize,"dub(Verbs with Predicative Complements),",,,
barbecue,"cook(Verbs of Change of State),",,,
bare,"crane(Verbs Involving the Body),",,,
barge,"drive(Verbs of Sending and Carrying),",,,
bark,"pit(Verbs of Removing),hurt(Verbs Involving the Body),",,,
barter,"exchange(Verbs of Change of Possession),",,,
bash,"throw(Verbs of Throwing),hit(Verbs of Contact by Impact),",,,
baste,"shake(Verbs of Combining and Attaching),",,,
bat,"throw(Verbs of Throwing),crane(Verbs Involving the Body),",,,
bathe,"fill(Verbs of Putting),",,,
batter,"hit(Verbs of Contact by Impact),",,,
beach,"pocket(Verbs of Putting),",,,
beam,"light emission(Verbs of Emission),",,,
beard,"pit(Verbs of Removing),",,,
beat,"hit(Verbs of Contact by Impact),shake(Verbs of Combining and Attaching),knead(Verbs of Creation and Transformation),crane(Verbs Involving the Body),sound emission(Verbs of Emission),",,,
bed,"pocket(Verbs of Putting),",,,
beep,"sound emission(Verbs of Emission),",,,
beget,"engender(Engender Verbs),",,,
begin,"begin(Aspectual Verbs),",,,
beguile,"amuse(Psych-Verbs),",,,
behave,"masquerade(Verbs with Predicative Complements),",,,
believe,"declare(Verbs with Predicative Complements),",,,
belt,"spank(Verbs of Contact by Impact),tape(Verbs of Combining and Attaching),",,,
bench,"pocket(Verbs of Putting),",,,
bend,"knead(Verbs of Creation and Transformation),bend(Verbs of Change of State),",,,
bequeath,"future-having(Verbs of Change of Possession),",,,
bereave,"cheat(Verbs of Removing),",,,
berth,"pocket(Verbs of Putting),",,,
bestrew,"fill(Verbs of Putting),",,,
bet,"bill(Measure Verbs),",,,
bewilder,"amuse(Psych-Verbs),",,,
bewitch,"amuse(Psych-Verbs),",,,
bilk,"cheat(Verbs of Removing),",,,
bill,"characterize(Verbs with Predicative Complements),bill(Measure Verbs),",,,
billet,"pocket(Verbs of Putting),",,,
bind,"fill(Verbs of Putting),pocket(Verbs of Putting),shake(Verbs of Combining and Attaching),",,,
birch,"spank(Verbs of Contact by Impact),",,,
bite,"swat(Verbs of Contact by Impact),hurt(Verbs Involving the Body),",,,
blab,"say(Verbs of Communication),",,,
blacken,"other change-of-state(Verbs of Change of State),",,,
blanch,"cook(Verbs of Change of State),",,,
blanket,"fill(Verbs of Putting),butter(Verbs of Putting),contiguous location(Verbs of Existence),",,,
blare,"sound emission(Verbs of Emission),",,,
blast,"sound emission(Verbs of Emission),other change-of-state(Verbs of Change of State),",,,
blaze,"light emission(Verbs of Emission),",,,
bleed,"cheat(Verbs of Removing),",,,
blend,"mix(Verbs of Combining and Attaching),mix(Verbs of Combining and Attaching),preparing(Verbs of Creation and Transformation),",,,
bless,"judgment(Judgment Verbs),",,,
blindfold,"butter(Verbs of Putting),",,,
blink,"light emission(Verbs of Emission),",,,
blister,"entity-specific change-of-state(Verbs of Change of State),",,,
blitz,"destroy(Destroy Verbs),",,,
block,"fill(Verbs of Putting),conceal(Verbs of Concealment),",,,
bloom,"entity-specific change-of-state(Verbs of Change of State),",,,
blossom,"entity-specific change-of-state(Verbs of Change of State),",,,
blot,"fill(Verbs of Putting),",,,
blow,"split(Verbs of Separating and Disassembling),build(Verbs of Creation and Transformation),crane(Verbs Involving the Body),",,,
bludgeon,"spank(Verbs of Contact by Impact),",,,
blunt,"other change-of-state(Verbs of Change of State),",,,
blur,"other change-of-state(Verbs of Change of State),",,,
blurt,"say(Verbs of Communication),",,,
board,"butter(Verbs of Putting),",,,
bob,"braid(Verbs of Grooming and Bodily Care),",,,
boggle,"amuse(Psych-Verbs),",,,
boil,"preparing(Verbs of Creation and Transformation),cook(Verbs of Change of State),",,,
bolt,"tape(Verbs of Combining and Attaching),gobble(Verbs of Ingesting),",,,
bombard,"fill(Verbs of Putting),pelt(Verbs of Throwing),",,,
bond,"shake(Verbs of Combining and Attaching),",,,
bone,"pit(Verbs of Removing),",,,
bonk,"spank(Verbs of Contact by Impact),",,,
book,"get(Verbs of Change of Possession),",,,
border,"contiguous location(Verbs of Existence),",,,
bore,"carve(Verbs of Cutting),amuse(Psych-Verbs),rummage(Verbs of Searching),",,,
borrow,"obtain(Verbs of Change of Possession),",,,
boss,"captain(Verbs with Predicative Complements),",,,
bother,"amuse(Psych-Verbs),marvel(Psych-Verbs),",,,
bottle,"pocket(Verbs of Putting),",,,
bottlefeed,"feeding(Verbs of Ingesting),",,,
bounce,"slide(Verbs of Sending and Carrying),roll(Verbs of Motion),",,,
bound,"contiguous location(Verbs of Existence),",,,
box,"pocket(Verbs of Putting),",,,
boycott,"avoid(Avoid Verbs),",,,
bracket,"tape(Verbs of Combining and Attaching),contiguous location(Verbs of Existence),",,,
braid,"braid(Verbs of Grooming and Bodily Care),",,,
brain,"spank(Verbs of Contact by Impact),",,,
braise,"cook(Verbs of Change of State),",,,
brand,"illustrate(Image Creation Verbs),dub(Verbs with Predicative Complements),",,,
bread,"butter(Verbs of Putting),",,,
break,"cheat(Verbs of Removing),split(Verbs of Separating and Disassembling),hurt(Verbs Involving the Body),break(Verbs of Change of State),appear(Verbs of Appearance, Disappearance, and Occurrence),",,,
breastfeed,"feeding(Verbs of Ingesting),",,,
brew,"preparing(Verbs of Creation and Transformation),",,,
brick,"butter(Verbs of Putting),",,,
bridge,"contiguous location(Verbs of Existence),",,,
bridle,"butter(Verbs of Putting),",,,
brighten,"other change-of-state(Verbs of Change of State),",,,
bring,"bring/take(Verbs of Sending and Carrying),",,,
broaden,"other change-of-state(Verbs of Change of State),",,,
bronze,"butter(Verbs of Putting),",,,
brown,"cook(Verbs of Change of State),other change-of-state(Verbs of Change of State),",,,
bruise,"carve(Verbs of Cutting),hurt(Verbs Involving the Body),",,,
brush,"spray/load(Verbs of Putting),wipe(Verbs of Removing),non-agentive impact(Verbs of Contact by Impact),floss(Verbs of Grooming and Bodily Care),braid(Verbs of Grooming and Bodily Care),",,,
buckle,"tape(Verbs of Combining and Attaching),",,,
buff,"wipe(Verbs of Removing),",,,
buffet,"pelt(Verbs of Throwing),",,,
bug,"amuse(Psych-Verbs),",,,
build,"build(Verbs of Creation and Transformation),",,,
bully,"captain(Verbs with Predicative Complements),",,,
bump,"hit(Verbs of Contact by Impact),non-agentive impact(Verbs of Contact by Impact),hurt(Verbs Involving the Body),",,,
bundle,"shake(Verbs of Combining and Attaching),",,,
bunt,"throw(Verbs of Throwing),",,,
burden,"equip(Verbs of Change of Possession),",,,
burgle,"cheat(Verbs of Removing),",,,
burl,"pit(Verbs of Removing),",,,
burn,"hurt(Verbs Involving the Body),light emission(Verbs of Emission),other change-of-state(Verbs of Change of State),entity-specific change-of-state(Verbs of Change of State),",,,
burrow,"rummage(Verbs of Searching),",,,
burst,"other change-of-state(Verbs of Change of State),appear(Verbs of Appearance, Disappearance, and Occurrence),",,,
bus,"drive(Verbs of Sending and Carrying),",,,
butcher,"captain(Verbs with Predicative Complements),murder(Verbs of Killing),",,,
butt,"hit(Verbs of Contact by Impact),",,,
butter,"butter(Verbs of Putting),",,,
button,"tape(Verbs of Combining and Attaching),",,,
buttonhole,"butter(Verbs of Putting),",,,
buy,"get(Verbs of Change of Possession),",,,
buzz,"sound emission(Verbs of Emission),",,,
cable,"instrument of communication(Verbs of Communication),",,,
caddy,"captain(Verbs with Predicative Complements),",,,
cadge,"steal(Verbs of Removing),obtain(Verbs of Change of Possession),",,,
cage,"pocket(Verbs of Putting),",,,
calcify,"other change-of-state(Verbs of Change of State),",,,
call,"get(Verbs of Change of Possession),dub(Verbs with Predicative Complements),",,,
calm,"amuse(Psych-Verbs),",,,
calumniate,"judgment(Judgment Verbs),",,,
camouflage,"masquerade(Verbs with Predicative Complements),",,,
can,"pocket(Verbs of Putting),",,,
cane,"spank(Verbs of Contact by Impact),",,,
canonize,"orphan(Verbs with Predicative Complements),",,,
canvass,"investigate(Verbs of Searching),",,,
cap,"butter(Verbs of Putting),contiguous location(Verbs of Existence),",,,
capsize,"other change-of-state(Verbs of Change of State),",,,
captain,"captain(Verbs with Predicative Complements),",,,
captivate,"amuse(Psych-Verbs),",,,
capture,"steal(Verbs of Removing),",,,
caramelize,"other change-of-state(Verbs of Change of State),",,,
carbonify,"other change-of-state(Verbs of Change of State),",,,
carbonize,"other change-of-state(Verbs of Change of State),",,,
caress,"touch(Verbs of Contact: Touch Verbs),",,,
carpet,"fill(Verbs of Putting),butter(Verbs of Putting),",,,
carry,"carry(Verbs of Sending and Carrying),cost(Measure Verbs),fit(Measure Verbs),",,,
cart,"drive(Verbs of Sending and Carrying),",,,
carve,"carve(Verbs of Cutting),scribble(Image Creation Verbs),build(Verbs of Creation and Transformation),",,,
case,"pocket(Verbs of Putting),",,,
cash,"get(Verbs of Change of Possession),",,,
cast,"throw(Verbs of Throwing),build(Verbs of Creation and Transformation),characterize(Verbs with Predicative Complements),",,,
castigate,"judgment(Judgment Verbs),",,,
catapult,"throw(Verbs of Throwing),",,,
catch,"get(Verbs of Change of Possession),",,,
caulk,"butter(Verbs of Putting),",,,
cause,"engender(Engender Verbs),",,,
caution,"advise(Verbs of Communication),",,,
cease,"begin(Aspectual Verbs),",,,
cede,"future-having(Verbs of Change of Possession),",,,
celebrate,"judgment(Judgment Verbs),",,,
cellar,"pocket(Verbs of Putting),",,,
cement,"tape(Verbs of Combining and Attaching),",,,
censure,"judgment(Judgment Verbs),",,,
certify,"characterize(Verbs with Predicative Complements),",,,
chagrin,"amuse(Psych-Verbs),",,,
chain,"tape(Verbs of Combining and Attaching),",,,
chalk,"scribble(Image Creation Verbs),",,,
champion,"captain(Verbs with Predicative Complements),",,,
change,"exchange(Verbs of Change of Possession),turn(Verbs of Creation and Transformation),other change-of-state(Verbs of Change of State),",,,
channel,"funnel(Verbs of Putting),",,,
chant,"performance(Verbs of Creation and Transformation),",,,
chaperone,"captain(Verbs with Predicative Complements),",,,
char,"other change-of-state(Verbs of Change of State),",,,
characterize,"characterize(Verbs with Predicative Complements),",,,
charbroil,"cook(Verbs of Change of State),",,,
charcoal,"scribble(Image Creation Verbs),",,,
charcoal-broil,"cook(Verbs of Change of State),",,,
charge,"equip(Verbs of Change of Possession),bill(Measure Verbs),",,,
charm,"amuse(Psych-Verbs),",,,
charter,"get(Verbs of Change of Possession),",,,
chase,"chase(Verbs of Motion),",,,
chasten,"judgment(Judgment Verbs),",,,
chastise,"judgment(Judgment Verbs),",,,
chauffeur,"captain(Verbs with Predicative Complements),",,,
cheapen,"other change-of-state(Verbs of Change of State),",,,
cheat,"cheat(Verbs of Removing),",,,
check,"peer(Verbs of Perception),search(Verbs of Searching),",,,
cheer,"amuse(Psych-Verbs),marvel(Psych-Verbs),",,,
cherish,"admire(Psych-Verbs),",,,
chew,"chew(Verbs of Ingesting),",,,
chide,"judgment(Judgment Verbs),",,,
chill,"amuse(Psych-Verbs),other change-of-state(Verbs of Change of State),",,,
chime,"sound emission(Verbs of Emission),",,,
chip,"cut(Verbs of Cutting),carve(Verbs of Cutting),hurt(Verbs Involving the Body),break(Verbs of Change of State),",,,
chisel,"build(Verbs of Creation and Transformation),",,,
choke,"fill(Verbs of Putting),",,,
chomp,"chew(Verbs of Ingesting),",,,
choose,"get(Verbs of Change of Possession),characterize(Verbs with Predicative Complements),",,,
chop,"carve(Verbs of Cutting),",,,
choreograph,"performance(Verbs of Creation and Transformation),",,,
christen,"dub(Verbs with Predicative Complements),",,,
chrome,"butter(Verbs of Putting),",,,
chuck,"throw(Verbs of Throwing),",,,
churn,"build(Verbs of Creation and Transformation),",,,
cite,"characterize(Verbs with Predicative Complements),message transfer(Verbs of Communication),",,,
clack,"sound emission(Verbs of Emission),",,,
clad,"being dressed(Verbs of Grooming and Bodily Care),",,,
claim,"say(Verbs of Communication),",,,
clamp,"tape(Verbs of Combining and Attaching),",,,
clang,"sound emission(Verbs of Emission),",,,
clank,"sound emission(Verbs of Emission),",,,
clasp,"hold(Hold and Keep Verbs),tape(Verbs of Combining and Attaching),",,,
class,"characterize(Verbs with Predicative Complements),",,,
classify,"characterize(Verbs with Predicative Complements),",,,
clatter,"sound emission(Verbs of Emission),",,,
claw,"swat(Verbs of Contact by Impact),",,,
clean,"clear(Verbs of Removing),preparing(Verbs of Creation and Transformation),other change-of-state(Verbs of Change of State),",,,
cleanse,"cheat(Verbs of Removing),",,,
clear,"clear(Verbs of Removing),preparing(Verbs of Creation and Transformation),other change-of-state(Verbs of Change of State),",,,
cleave,"cling(Verbs of Combining and Attaching),",,,
clench,"crane(Verbs Involving the Body),",,,
clerk,"captain(Verbs with Predicative Complements),",,,
click,"crane(Verbs Involving the Body),sound emission(Verbs of Emission),",,,
climb,"calibratable change-of-state(Verbs of Change of State),inherently directed motion(Verbs of Motion),",,,
cling,"cling(Verbs of Combining and Attaching),sound emission(Verbs of Emission),",,,
clip,"cut(Verbs of Cutting),tape(Verbs of Combining and Attaching),braid(Verbs of Grooming and Bodily Care),",,,
cloak,"fill(Verbs of Putting),butter(Verbs of Putting),",,,
clobber,"spank(Verbs of Contact by Impact),",,,
clog,"fill(Verbs of Putting),other change-of-state(Verbs of Change of State),",,,
cloister,"pocket(Verbs of Putting),conceal(Verbs of Concealment),",,,
close,"crane(Verbs Involving the Body),other change-of-state(Verbs of Change of State),",,,
club,"spank(Verbs of Contact by Impact),",,,
clump,"sound emission(Verbs of Emission),",,,
clunk,"sound emission(Verbs of Emission),",,,
cluster,"shake(Verbs of Combining and Attaching),",,,
clutch,"hold(Hold and Keep Verbs),",,,
clutter,"fill(Verbs of Putting),",,,
coach,"captain(Verbs with Predicative Complements),",,,
coagulate,"other change-of-state(Verbs of Change of State),",,,
coalesce,"amalgamate(Verbs of Combining and Attaching),",,,
coarsen,"other change-of-state(Verbs of Change of State),",,,
coat,"fill(Verbs of Putting),",,,
cock,"crane(Verbs Involving the Body),",,,
coddle,"cook(Verbs of Change of State),",,,
coff,"spank(Verbs of Contact by Impact),",,,
coil,"coil(Verbs of Putting),knead(Verbs of Creation and Transformation),roll(Verbs of Motion),",,,
coin,"create(Verbs of Creation and Transformation),",,,
coincide,"amalgamate(Verbs of Combining and Attaching),",,,
coldcream,"braid(Verbs of Grooming and Bodily Care),",,,
collapse,"other change-of-state(Verbs of Change of State),",,,
collate,"shake(Verbs of Combining and Attaching),",,,
collect,"obtain(Verbs of Change of Possession),shake(Verbs of Combining and Attaching),knead(Verbs of Creation and Transformation),other change-of-state(Verbs of Change of State),",,,
color,"color(Verbs of Coloring),",,,
comb,"wipe(Verbs of Removing),search(Verbs of Searching),braid(Verbs of Grooming and Bodily Care),",,,
combine,"mix(Verbs of Combining and Attaching),",,,
comfort,"amuse(Psych-Verbs),",,,
commence,"begin(Aspectual Verbs),",,,
commend,"judgment(Judgment Verbs),",,,
commingle,"mix(Verbs of Combining and Attaching),",,,
compare,"amalgamate(Verbs of Combining and Attaching),",,,
compensate,"equip(Verbs of Change of Possession),judgment(Judgment Verbs),",,,
compile,"build(Verbs of Creation and Transformation),",,,
complete,"complete(Aspectual Verbs),",,,
compliment,"judgment(Judgment Verbs),",,,
compose,"create(Verbs of Creation and Transformation),performance(Verbs of Creation and Transformation),",,,
compress,"knead(Verbs of Creation and Transformation),other change-of-state(Verbs of Change of State),",,,
compute,"create(Verbs of Creation and Transformation),",,,
concatenate,"mix(Verbs of Combining and Attaching),",,,
conceal,"conceal(Verbs of Concealment),",,,
concede,"future-having(Verbs of Change of Possession),",,,
concern,"amuse(Psych-Verbs),",,,
concoct,"create(Verbs of Creation and Transformation),",,,
condemn,"judgment(Judgment Verbs),",,,
condense,"other change-of-state(Verbs of Change of State),",,,
condition,"braid(Verbs of Grooming and Bodily Care),",,,
conduct,"accompany(Verbs of Motion),",,,
confederate,"amalgamate(Verbs of Combining and Attaching),",,,
confess,"declare(Verbs with Predicative Complements),say(Verbs of Communication),",,,
confide,"say(Verbs of Communication),",,,
confirm,"characterize(Verbs with Predicative Complements),",,,
confiscate,"steal(Verbs of Removing),cheat(Verbs of Removing),",,,
confound,"amuse(Psych-Verbs),",,,
confuse,"amalgamate(Verbs of Combining and Attaching),amuse(Psych-Verbs),",,,
congratulate,"judgment(Judgment Verbs),",,,
conjecture,"conjecture(Verbs with Predicative Complements),",,,
conjoin,"amalgamate(Verbs of Combining and Attaching),",,,
conk,"spank(Verbs of Contact by Impact),",,,
connect,"mix(Verbs of Combining and Attaching),mix(Verbs of Combining and Attaching),",,,
consecreate,"dub(Verbs with Predicative Complements),",,,
consider,"appoint(Verbs with Predicative Complements),",,,
console,"amuse(Psych-Verbs),",,,
consolidate,"amalgamate(Verbs of Combining and Attaching),",,,
construct,"create(Verbs of Creation and Transformation),",,,
consume,"devour(Verbs of Ingesting),",,,
contain,"contiguous location(Verbs of Existence),fit(Measure Verbs),",,,
contaminate,"fill(Verbs of Putting),",,,
content,"amuse(Psych-Verbs),",,,
continue,"begin(Aspectual Verbs),",,,
contract,"other change-of-state(Verbs of Change of State),",,,
contrast,"amalgamate(Verbs of Combining and Attaching),",,,
contribute,"contribute(Verbs of Change of Possession),",,,
convert,"turn(Verbs of Creation and Transformation),",,,
convey,"send(Verbs of Sending and Carrying),say(Verbs of Communication),",,,
convince,"amuse(Psych-Verbs),",,,
cook,"build(Verbs of Creation and Transformation),preparing(Verbs of Creation and Transformation),cook(Verbs of Change of State),",,,
cool,"other change-of-state(Verbs of Change of State),",,,
coop,"pocket(Verbs of Putting),",,,
cop,"steal(Verbs of Removing),",,,
copy,"scribble(Image Creation Verbs),transcribe(Image Creation Verbs),",,,
core,"pit(Verbs of Removing),",,,
cork,"butter(Verbs of Putting),",,,
corral,"pocket(Verbs of Putting),",,,
correlate,"amalgamate(Verbs of Combining and Attaching),",,,
correspond,"exist(Verbs of Existence),",,,
corrode,"other change-of-state(Verbs of Change of State),entity-specific change-of-state(Verbs of Change of State),",,,
cosh,"spank(Verbs of Contact by Impact),",,,
cost,"cost(Measure Verbs),",,,
counsel,"advise(Verbs of Communication),",,,
count,"characterize(Verbs with Predicative Complements),masquerade(Verbs with Predicative Complements),",,,
cover,"fill(Verbs of Putting),contiguous location(Verbs of Existence),",,,
covet,"want(Verbs of Desire),",,,
cow,"amuse(Psych-Verbs),",,,
cox,"captain(Verbs with Predicative Complements),",,,
crack,"sound emission(Verbs of Emission),break(Verbs of Change of State),",,,
crackle,"sound emission(Verbs of Emission),",,,
cram,"spray/load(Verbs of Putting),learn(Learn Verbs),",,,
crane,"crane(Verbs Involving the Body),",,,
crash,"non-agentive impact(Verbs of Contact by Impact),sound emission(Verbs of Emission),break(Verbs of Change of State),",,,
crate,"pocket(Verbs of Putting),",,,
crave,"want(Verbs of Desire),",,,
crayon,"scribble(Image Creation Verbs),",,,
creak,"sound emission(Verbs of Emission),",,,
cream,"mix(Verbs of Combining and Attaching),",,,
crease,"bend(Verbs of Change of State),",,,
create,"create(Verbs of Creation and Transformation),engender(Engender Verbs),",,,
credit,"fulfilling(Verbs of Change of Possession),",,,
crepitate,"sound emission(Verbs of Emission),",,,
crew,"captain(Verbs with Predicative Complements),",,,
crimp,"braid(Verbs of Grooming and Bodily Care),",,,
crimson,"other change-of-state(Verbs of Change of State),",,,
crinkle,"bend(Verbs of Change of State),",,,
cripple,"orphan(Verbs with Predicative Complements),",,,
crisp,"cook(Verbs of Change of State),other change-of-state(Verbs of Change of State),",,,
criss-cross,"amalgamate(Verbs of Combining and Attaching),",,,
criticize,"judgment(Judgment Verbs),",,,
crochet,"build(Verbs of Creation and Transformation),",,,
crook,"crane(Verbs Involving the Body),",,,
crop,"carve(Verbs of Cutting),braid(Verbs of Grooming and Bodily Care),",,,
cross,"crane(Verbs Involving the Body),contiguous location(Verbs of Existence),inherently directed motion(Verbs of Motion),",,,
crowd,"spray/load(Verbs of Putting),",,,
crown,"butter(Verbs of Putting),appoint(Verbs with Predicative Complements),dub(Verbs with Predicative Complements),",,,
crucify,"poison(Verbs of Killing),",,,
cruise,"non-vehicle names(Verbs of Motion),",,,
crumble,"bend(Verbs of Change of State),other change-of-state(Verbs of Change of State),",,,
crunch,"chew(Verbs of Ingesting),sound emission(Verbs of Emission),",,,
crush,"carve(Verbs of Cutting),amuse(Psych-Verbs),break(Verbs of Change of State),",,,
crystalize,"other change-of-state(Verbs of Change of State),",,,
cube,"carve(Verbs of Cutting),",,,
cuckold,"orphan(Verbs with Predicative Complements),",,,
cudgel,"spank(Verbs of Contact by Impact),",,,
cull,"remove(Verbs of Removing),cheat(Verbs of Removing),",,,
cultivate,"spray/load(Verbs of Putting),",,,
cure,"cheat(Verbs of Removing),",,,
curl,"coil(Verbs of Putting),braid(Verbs of Grooming and Bodily Care),",,,
curry,"groom(Verbs of Grooming and Bodily Care),",,,
curtain,"conceal(Verbs of Concealment),",,,
cut,"cut(Verbs of Cutting),split(Verbs of Separating and Disassembling),build(Verbs of Creation and Transformation),amuse(Psych-Verbs),hurt(Verbs Involving the Body),braid(Verbs of Grooming and Bodily Care),",,,
dab,"spray/load(Verbs of Putting),wipe(Verbs of Removing),",,,
dam,"fill(Verbs of Putting),",,,
dampen,"other change-of-state(Verbs of Change of State),",,,
dance,"performance(Verbs of Creation and Transformation),",,,
