verb,overall_occurrences,Levin_classes,simple_sel,pmw_count,number_withOUT_obj,objectless_sentences,percent_implicit_obj,sents_WITH_obj,most_common_objs,number_with_obj
calm,1.0,"amuse(Psych-Verbs),",1.0,41,0.0,[],0.0,"[It was Giselle , the fille de chambre , come to clean the room , and while she stood before him with ears pricked up and regard all curiosity , explaining her errand , Alex could see from the corner of his eye the doctor doing all he could to calm the displeased bird . 
]","bird(1),",1.0
strike,2.0,"hit(Verbs of Contact by Impact),amuse(Psych-Verbs),sound emission(Verbs of Emission),",0.5,82,0.0,[],0.0,"[I took the broken length of it around the tractor and I took one of the wrenches from the tool-kit and I struck its head , not looking at it , to kill it at last , for it could never live . 
, Furthermore -- and this , to me , strikes an especially warming note -- it shall avail the vandals naught to throw away or dispose of their loot . 
]","note(1),head(1),",2.0
hurt,1.0,"amuse(Psych-Verbs),",,41,1.0,"[With an art that almost conceals art , J. D. Salinger can create a fictional world so authentic that it hurts . 
]",1.0,[],,0.0
warm,1.0,"other change-of-state(Verbs of Change of State),",,41,1.0,"[Furthermore -- and this , to me , strikes an especially warming note -- it shall avail the vandals naught to throw away or dispose of their loot . 
]",1.0,[],,0.0
hold,7.0,"hold(Hold and Keep Verbs),",0.2,287,1.0,"[Bedridden people say I am easy to hold -- and read . 
]",0.16666666666666666,"[President Eisenhower held an 8:30 a.m. meeting with top military and foreign-policy advisers , decided to break off diplomatic relations immediately . 
, All the generals who held important commands in World War 2 , did not write books . 
, ( Revelation 3:20 : : 
When you read me , you are holding in your hands the product of many minds and hearts . 
, One manufacturer who held an allegedly basic patent said : `` I would readily put over $50,000 into the manufacture of the device , but it is so easy to make that we would enter immediately into a prolonged ordeal of patent litigation which would eat up all our profits '' . 
, I felt myself tremble , thinking of the diamond light of that beauty I had held a few moments before , and I wanted to run down there and halt , if I could , that frenetic pirouette , catch the boy in the moment of his savagery , and save a glimmer , a remnant , of that which I remembered , but I knew it was already too late . 
]","product(1),patent(1),moment(1),meet(1),command(1),",5.0
shoot,3.0,"get(Verbs of Change of Possession),throw(Verbs of Throwing),swat(Verbs of Contact by Impact),poison(Verbs of Killing),",0.5,123,1.0,"[He was also at the same time gaining practical experience as a safe breaker and highwayman , and learning how to shoot to kill from a Neanderthal convicted murderer named Gene Geary , later committed to Chester Asylum as a homicidal maniac , but whose eyes misted with tears when the young Dion sang a ballad about an Irish mother in his clear and syrupy tenor . 
]",0.3333333333333333,"[Near the end of his service he wrote that when the war was over he was going to buy two pups , name one of them `` Fall-in '' and the other `` Close-up '' , and then shoot them both , `` and that will be the end of Fall-in and Close-up '' . 
, Maude could have shot Emile -- if she'd had a reason to kill him . 
]","emile(1),-PRON-(1),",2.0
pursue,1.0,"chase(Verbs of Motion),",1.0,41,0.0,[],0.0,"[42 U. S. C. 1958 ( ) ) , is hereby amended to read : 
In the light of the facts at hand , however , New York Central intends to pursue the objective of helping to create a healthy two-system eastern railroad structure in the public interest '' . 
]","objective(1),",1.0
work,7.0,"knead(Verbs of Creation and Transformation),",,287,6.0,"[It's best to buy them fresh from a dealer who is working to improve them . 
, Too many plant officials are all too eager to buy a package program from an insurance company simply because it works for another plant . 
, Masu also uses the training she got in an American home where she learned to polish furniture , clean corners , and work effectively in keeping a shiny house . 
, Further , we must induce all industrialized nations of the Free World to work together to help lift the scourge of poverty from less fortunate . 
, He returned to New York to work for The New Yorker , to edit a Western pulp , to `` duck the war in the OWI '' , to write publicity for Paramount Pictures and commentary for a newsreel , then he began his career as critic for various magazines . 
, I knew that I'd soon be back working as an orderly at the hospital or as a counterman at Union News or Schraffts while waiting for another acting job to open . 
]",1.0,[],,0.0
give,17.0,"give(Verbs of Change of Possession),",0.091,698,2.0,"[Give generously when you buy candy today for the Brain Research Foundation . 
, In the family's own words ( during the third of twelve visits ) , they had `` reached the crisis peak -- either the situation will give or we will break '' ! ! 
]",0.15384615384615385,"[He gave the impression of never having read a word about art , but there was no doubt that he had an eye for the best . 
, The article proceeded to give an inaccurate account of a Catholic plot to kill King James 1 . 
, Why not open your heart to the Lord Jesus Christ now , accept Him as your Saviour and let Him fill you with peace that only He can give . 
, It's usually not too hard to sell workers on this as it gives them longer holiday periods . 
, He gave us a simile to explain his admission that even at the worst period of his second illness it never occurred to him there was any renewed question about his running : as in the Battle of the Bulge , he had no fears about the outcome until he read the American newspapers . 
, To give a patient the wrong type of blood , said the doctor , would likely kill him . 
, Above all read in Jens Bjerre's The Last Cannibal Show the old man of the Wailbri tribe ( not cannibals ) in central Australia gave to the white man his choicest possession , while the tears streamed down his face . 
, He had dusted each of the books carefully and carried them all to the basement and , trembling at having to open the big furnace , given them up to the flames . 
, But due to the many applicants on file , would he co-operate and write a personal letter giving them his son's motivation , interests and his qualifications for leadership ? ? 
, His recent experience in motor car advertising , a love for cars of themselves , the existence of A-Z's useless Wisconsin set-up , exposure to exciting conceptions of Hamrick's that nobody would buy , and the coincidental recent failure of a respected but out-dated small-car manufacturer called Ticonderoga Motors had given him an idea of such dimensions he was almost afraid to broach it . 
, Never once did he buy me a single gift and for our third anniversary he gave me a dislocated jaw . 
]","type(1),that(1),simile(1),possession(1),period(1),motivation(1),jaw(1),impression(1),idea(1),account(1),-PRON-(1),",11.0
provide,6.0,"fulfilling(Verbs of Change of Possession),",0.333,246,0.0,[],0.0,"[More than 20 million people live on farms and they own a fourth of the nation's trucks , buy more gasoline than any other industry and provide a major market for home appliances , chemicals and other products . 
, Since the 7070 and 7074 make use of record definition words ( RDWS ) to read , write , move , and otherwise examine blocks of storage , the DA and DC statements provide the option of generating RDWS automatically . 
, she could dust the plants , then break off suddenly and pick up an old novel and read from the middle on ; ; 
They had cleaned up an old ice box and begun to buy fifty-pound blocks of ice in town , as the electric refrigerator came nowhere near providing enough ice for the crowds who ate and drank there . 
]","option(1),market(1),ice(1),",3.0
moisten,1.0,"other change-of-state(Verbs of Change of State),",,41,1.0,"[Coney Island sauce : finely chop several onions and add enough catsup to moisten well ; ; 
gently lift the edge on far side , then continue to release edge completely around mold . 
]",1.0,[],,0.0
lay,2.0,"putting-in-spatial-config(Verbs of Putting),",,82,1.0,"[Tom had been laying for Aaron McBride for a long time , just waiting to catch him out of line . 
]",1.0,[],,0.0
enter,5.0,"inherently directed motion(Verbs of Motion),",0.5,205,1.0,"[One manufacturer who held an allegedly basic patent said : `` I would readily put over $50,000 into the manufacture of the device , but it is so easy to make that we would enter immediately into a prolonged ordeal of patent litigation which would eat up all our profits '' . 
]",0.3333333333333333,"[I would hope that Sargent Shriver will encourage everyone entering the Peace Corps to read it . 
, Since by the principle of optimality the remaining stages use an optimal Af-stage policy with respect to Af , we may enter section Af of the table at this state Af and read off the optimal policy for stage Af and the resulting state Af . 
]","section(1),corps(1),",2.0
operate,3.0,"other change-of-state(Verbs of Change of State),",1.0,123,1.0,"[But due to the many applicants on file , would he co-operate and write a personal letter giving them his son's motivation , interests and his qualifications for leadership ? ? 
]",0.5,"[William , who did not write to Gorham , told Giffen that unless he could operate the plantation as usual for a year , he would sue `` amicably '' to protect his interests . 
]","plantation(1),",1.0
order,6.0,"get(Verbs of Change of Possession),",0.5,246,2.0,"[Miriam now ordered Pengally to break down the gate , but he said he really couldn't go that far . 
, Then , at last , his day would fall into an ordered pattern and he would be free to read , or garden or just wander through the woods in the late afternoon , accompanied by his dogs . 
]",0.5,"[To create such a lamp , order a wired pedestal from any lamp shop . 
, He tried to order the words of the three Union officers , seeking to create some coherent portrait of the dead boy . 
]","word(1),pedestal(1),",2.0
fix,2.0,"preparing(Verbs of Creation and Transformation),",1.0,82,0.0,[],0.0,"[`` Jackson recruited his critters , and him and me fixed up his wagon while we was waiting for you to catch up . 
]","wagon(1),",1.0
break,65.0,"cheat(Verbs of Removing),break(Verbs of Change of State),",0.088,2669,20.0,"[`` Leading Nations of the West and of the East keep busy making newer nuclear weapons to defend themselves in the event the constantly threatening nuclear war should break out . 
, Because neither of them really wanted their marriage to break up , Mr. and Mrs. Black agreed to a series of interviews at Family Service of Northern Virginia , the agency nearest them . 
, If he won't break , we add to the stress he bears . 
, Small , shirt-sleeved orchestras play in 2/4 or 4/4 time , using guitars , violins , and more alien instruments with names that would open Sesame : the oud , grandfather of the lute ; ; 
As we know , the Soviet peasant today still very largely thrives on being able to sell the produce grown on his private plot ; ; 
he may break with China ( which would be infernally difficult and perhaps disastrous ) , or he may succeed , by all kinds of dangerous concessions , in persuading China to be patient . 
, At the end of the calculated time he'd nose the Waco down through the cloud bank and hope to break through where some feature of the winter landscape would be recognizable . 
, if they should bite before I wake , I pray the Lord their jaws to break '' . 
, Earthquakes result when movements in the earth twist rocks until they break . 
, Writers openly admit that the Negro is easier to write than the white man ; ; 
But her conscious need was to break away from constricting patterns of form , a need to let the experience shape itself . 
, Monogamy is the vice from which the abjectly fearful middle class continue to suffer , whereas the beatnik has the courage to break out of that prison of respectability . 
, ( Some suspensions break up before they are near to the direction of shear , and some become asymptotic to it without breakup . 
, In the family's own words ( during the third of twelve visits ) , they had `` reached the crisis peak -- either the situation will give or we will break '' ! ! 
, Greek civilization was swirling toward its great revolution , in which the developed qualities of the Hellenic outlook were suddenly to break forth . 
, Where will you break ? ? 
, she could dust the plants , then break off suddenly and pick up an old novel and read from the middle on ; ; 
They had cleaned up an old ice box and begun to buy fifty-pound blocks of ice in town , as the electric refrigerator came nowhere near providing enough ice for the crowds who ate and drank there . 
, The heavy glass didn't break , but the top flew off ; ; 
He remembered a story he had read as a youth . 
, And then he heard a car coming from the east , and he felt as if he would break down and weep . 
, his nerves seemed frost-bitten down to the tips of his tingling fingers and his spine felt stiff and glass-like , liable to break like an icicle at any moment . 
, He could not break in on an armed man . 
, Cabot turned back to the men and he was drunk with the thing they would do , wild to break from the cloying warmth of the saloon into the cold of the ebbing night . 
, Doors that won't open , and doors that won't close and shelves and broken --]",0.37037037037037035,"[If the Orioles are to break their losing streak within the next two days , it will have to be at the expense of the American League champion New York Yankees , who come in here tomorrow for a night game and a single test Sunday afternoon . 
, The opinion continues here that with a 162-game schedule , pitching spread thin through a 10-team league and a most inviting target in Los Angeles' Wrigley Field Jr. , Mantle just might break the most glamorous record on the books , Babe Ruth's 60 homers of 1927 . 
, Mrs. Marr also has a number of parolees to `` mother '' , watching to see that they do not break their parole and that they also learn to readjust to society . 
, President Eisenhower held an 8:30 a.m. meeting with top military and foreign-policy advisers , decided to break off diplomatic relations immediately . 
, There were two possible methods of breaching the conservative barriers around the Rules Committee : 1 ) to pack it with additional liberals and break the conservative-liberal deadlock , or 2 ) to remove one of the conservatives -- namely Mississippi's 14-term William Meyers Colmer ( pronounced Calmer ) . 
, Starting with small stations not members of the National Association of Broadcasters , the firm apparently is seeking to break down the anti-liquor barriers in major-market stations . 
, If we break the minister to our bit , we are buying back our own sins . 
, They insist they are ashamed of such violence and intimidation as occurred in Alabama when the Freedom Riders sought to break down racial discrimination in local bus depots . 
, the athlete of by-gone years who wears a size 46 suit and puffs when he has finished a sentence of any length then , it is time to break it up and move on . 
, The company which performed the Pulitzer Prize musical here last night and will repeat it twice today is full of bounce , the politicians are in fine voice , the chorines evoke happy memories , and the Little Flower rides to break a lance again . 
, And pretty soon gray fox is announcing that he won't have anyone around that's against him , and setting out to break his second territorial treaty with the birds . 
, shotshells -- to break the little Targo clay targets . 
, but it's almost impossible to break one after it passes the 35-foot mark . 
, Have the insurance company or your own accounting department break down the cost of your insurance package periodically . 
, `` I have done everything '' , he wrote , `` to break up the whole of that unfortunate establishment . 
, She read Maitland's Dark Ages , `` which I enjoyed very much '' ; ; 
It is at least as important as the more dramatic attempts to break down barriers of inequality in the South . 
, The sensational and frightening enjoyed popularity : a train rushes straight at the audience , or a great wave threatens to break over the seats . 
, and again , that `` the object of non-violent resistance is partly analogous to this object of war -- namely , to demoralize the opponent , to break his will , to destroy his confidence , enthusiasm , and hope . 
, But what if somebody decides to break it ? ? 
, On the other hand , the fictional detective does not break strikes or handle divorce cases ; ; 
At the same time , because the personal code of the detective coincides with the legal dictates of his society , because he likes to catch criminals , he is in middle class eyes a virtuous man . 
, Miriam now ordered Pengally to break down the gate , but he said he really couldn't go that far . 
, Sherman insisted that cavalry could not successfully break up hostile railways , yet Garrard's Covington raid and Rousseau's Opelika raid cut two-thirds of the rail lines he had to break and Sherman lived in mortal fear of what Forrest might do to his communications . 
, Sherman insisted that cavalry could not successfully break up hostile railways , yet Garrard's Covington raid and Rousseau's Opelika raid cut two-thirds of the rail lines he had to break and Sherman lived in mortal fear of what Forrest might do to his communications . 
, To break the monotony it may be necessary to invent tasks that will keep the family busy . 
, Before them stalked the beadle , proclaiming as he went , `` Thus the Council deals with those who break its laws -- adulterers , thieves , murderers , and lewd persons . 
, `` Chickens have short memories '' , the doctor remarked , `` that's why they are better company than most people I know '' , and he went on to break some important news to Alex . 
, Rev didn't need to break the wax seal , read the contract and find out . 
, Much better to break a cellar window '' . 
, To break the uncomfortable silence , Haney began to talk . 
, She came down against him , and he tried to break her fall . 
, She was just not able to break the spell . 
, This character could break him in half . 
, She could not count the times Herman had rapped on the door , just a couple of bangs that shook the whole damned closet and might , someday , break away the pipe connections from the wall . 
, Martin would have liked to break the man's neck . 
]","-PRON-(3),railway(2),barrier(2),window(1),will(1),whole(1),treaty(1),target(1),strike(1),streak(1),spell(1),silence(1),seat(1),seal(1),relation(1),parole(1),one(1),news(1),neck(1),monotony(1),minister(1),law(1),lance(1),homer(1),gate(1),fall(1),discrimination(1),deadlock(1),cost(1),connection(1),",34.0
bang,1.0,"funnel(Verbs of Putting),hit(Verbs of Contact by Impact),non-agentive impact(Verbs of Contact by Impact),sound emission(Verbs of Emission),",1.0,41,0.0,[],0.0,"[Above , in the tiled prosceniums of the alcoves , boys sing the ghazals of Hafiz and Saadi , while at the very bottom , in the vaults , the toughs and blades of the city hoot and bang their drums , drink arak , play dice , and dance . 
]","drum(1),",1.0
bank,1.0,"pocket(Verbs of Putting),",,41,1.0,"[She also banks into a turn like a fine runabout -- not digging in on the outside to throw passengers all over the boat like many a small cabin cruiser . 
]",1.0,[],,0.0
whip,1.0,"spank(Verbs of Contact by Impact),knead(Verbs of Creation and Transformation),",1.0,41,0.0,[],0.0,"[and in that brief interval , a redcoat officer came tearing down the road , whipping his horse fit to kill . 
]","fit(1),",1.0
content,1.0,"amuse(Psych-Verbs),",1.0,41,0.0,[],0.0,"[The field , then , is ripe for new Southerners to step to the fore and write of this twentieth-century phenomenon , the Southern Yankeefication : the new urban economy , the city-dweller , the pains of transition , the labor problems ; ; 
Lacking the pioneer spirit necessary to write of a new economy , these writers seem to be contenting themselves with an old one that is now as defunct as Confederate money . 
]","-PRON-(1),",1.0
encourage,2.0,"amuse(Psych-Verbs),",0.5,82,0.0,[],0.0,"[I would hope that Sargent Shriver will encourage everyone entering the Peace Corps to read it . 
, Haney didn't want to encourage his company , but felt he ought to buy him a drink anyhow , to prevent possible trouble . 
]","everyone(1),company(1),",2.0
listen,2.0,"peer(Verbs of Perception),rummage(Verbs of Searching),",,82,2.0,"[Yet we who lean upon such a man and draw strength from him and expect interpretation of the infinite through him -- we who readily accept his sacrifice as our due , we of the congregations are the first to tell him what is in our minds instead of listening to what is in his soul . 
, `` Listen , I never had a chance to kill an antelope . 
]",1.0,[],,0.0
murder,4.0,"murder(Verbs of Killing),",1.0,164,1.0,"[Finally we got them out of the house , after the boy had run away four times looking for other Nazis , threatening to murder village schoolchildren and bragging that he was to be the next Fuhrer . 
]",0.25,"[But slowly they take over as Alain Delon ( Life , Sept. 15 ) , playing a sometimes appealing but always criminal boy , casually tells a rich and foot-loose American that he is going to murder him , then does it even while the American is trying to puzzle out how Delon expects to profit from the act . 
, It was not very reasonable to believe that Lucien had procured unprocurable opium and come back to Honotassa with a formed plan to murder her . 
, Again the homely , everyday details of daily living refuted a vicious attempt to frighten her -- or to murder her . 
]","-PRON-(3),",3.0
serve,6.0,"give(Verbs of Change of Possession),fulfilling(Verbs of Change of Possession),",0.333,246,0.0,[],0.0,"[He was copious in his praise of those that served food that was good to eat . 
, One serves society by conducting a business from which a certain number of employees draw their means of subsistence ; ; 
One cannot read the records of scientists , officials and travelers who have penetrated to the minds of the most savage races without realizing that each individual met with is a person . 
, Another less ambiguous case read as follows : `` The bearer of this letter has served me for two years to his complete satisfaction . 
]","society(1),food(1),-PRON-(1),",3.0
mine,1.0,"mine(Verbs of Removing),hunt(Verbs of Searching),",,41,1.0,"[In Psalm 27 : 1 you read those beautiful words which you must have in your heart if you are to master the fears that surround you , or to drive them out if they have you in their grip : `` The Lord is my light and my salvation ; ; 
Read the next two verses : `` When the wicked , even mine enemies and my foes , came upon me to eat up my flesh , they stumbled and fell . 
]",1.0,[],,0.0
rap,2.0,"hit(Verbs of Contact by Impact),",1.0,82,1.0,"[She could not count the times Herman had rapped on the door , just a couple of bangs that shook the whole damned closet and might , someday , break away the pipe connections from the wall . 
]",0.5,"[And every sound that might be the rain also might be the man who thinks after he has raped you he has to beat your brains out with a tire tool so you won't tell , a combination like ham and eggs , rape her and kill her , and that is being an old maid too . 
]","-PRON-(1),",1.0
watch,5.0,"sight(Verbs of Perception),search(Verbs of Searching),",,205,3.0,"[Mrs. Marr also has a number of parolees to `` mother '' , watching to see that they do not break their parole and that they also learn to readjust to society . 
, They crowded the small room and peered over one another's shoulders to watch the handless man write his name in the book . 
, Slowly he pulled out the hand throttle until the boat was moving at little more than a crawl , and watched Elaine rapidly spin from one station to another , tune in the null , then draw in a line on the chart . 
]",1.0,[],,0.0
devour,2.0,"devour(Verbs of Ingesting),",0.5,82,0.0,[],0.0,"[Our enemy is also threatening to devour us . 
, To play the guitar as he aspires will devour his three-fold energy as a historian , a poet and a singer . 
]","energy(1),-PRON-(1),",2.0
wear,2.0,"wipe(Verbs of Removing),",1.0,82,0.0,[],0.0,"[the athlete of by-gone years who wears a size 46 suit and puffs when he has finished a sentence of any length then , it is time to break it up and move on . 
]","size(1),",1.0
improve,2.0,"other change-of-state(Verbs of Change of State),",1.0,82,0.0,[],0.0,"[It's best to buy them fresh from a dealer who is working to improve them . 
]","-PRON-(1),",1.0
trust,1.0,"fulfilling(Verbs of Change of Possession),admire(Psych-Verbs),",1.0,41,0.0,[],0.0,"[`` He's a wrong-o '' , said Runyon , `` and I wouldn't trust him as far as I could throw the Statue of Liberty '' . 
]","-PRON-(1),",1.0
lift,18.0,"putting-in-specified-direction(Verbs of Putting),steal(Verbs of Removing),",0.286,739,1.0,"[Though they saw the old-style chemical rockets lift up from the field beyond B'dikkat's cabin , they did not make plans to hide among the frozen crop of transmuted flesh . 
]",0.06666666666666667,"[-- `` The present recovery movement will gather steady momentum to lift the economy to a new historic peak by this autumn '' , Beryl W. Sprinkel , economist of Harris Trust & Savings Bank , Chicago , predicted at the closing session here Tuesday of Investment Bankers Assn. , California group , conference . 
, There is an almost instrumental quality to their singing , with a tendency to lift out important lines and make them lead the musical texture . 
, Too often a beginning bodybuilder has to do his training secretly either because his parents don't want sonny-boy to `` lift all those old barbell things '' because `` you'll stunt your growth '' or because childish taunts from his schoolmates , like `` Hey lookit Mr. America ; ; 
Undoubtedly you have read the case histories of some of his prize-winning pupils ( every pupil has a physique title of some kind or other ) . 
, Coney Island sauce : finely chop several onions and add enough catsup to moisten well ; ; 
gently lift the edge on far side , then continue to release edge completely around mold . 
, Place project on table and carefully lift the mold off . 
, Further , we must induce all industrialized nations of the Free World to work together to help lift the scourge of poverty from less fortunate . 
, Old Mr. Pocket's frantic response to life imprisonment with a useless , social-climbing wife is to `` put his two hands into his disturbed hair '' and `` make an extraordinary effort to lift himself up by it '' , whereas Joe Gargery endures the shrewish onslaughts of Mrs. Joe by apologetically drawing `` the back of his hand across and across his nose '' . 
, Af against the knife which tends to push it into the substrate or lift it away from the substrate depending on the vector direction of Af . 
, Eileen declared she couldn't lift her head from the pillow . 
, For a moment , she could not catch her breath and then , her breath returning in short , frightened spasms , she lifted herself to her feet laboriously . 
, He slumped against a log fence rail , then tried to lift himself . 
, Half slyly he enjoyed seeing her stoop to lift the things . 
, Instantaneously he would have won an immeasurable moral victory , for if she picked up , say , a pair of her panties , she might just as well lift his shorts lying alongside -- the expenditure of energy was almost the same . 
, and that action always caused her to lift her lip from the sting of the thing . 
]","-PRON-(4),thing(2),short(1),scourge(1),mold(1),lip(1),line(1),head(1),edge(1),economy(1),",14.0
catch,40.0,"get(Verbs of Change of Possession),",0.167,1642,11.0,"[You can catch up with him -- if you haven't already -- on RCA-Victor's album . 
, Of special interest this anniversary year of the war between the states are the many Civil War battlefields where , likely as not , you'll catch some memorial re-enactments . 
, But because it was a suspense gangster story of the Capone era , many of us felt that it might catch on for a run in Chicago , continue as a road company , and eventually become a movie . 
, By then they could never catch up with the others . 
, Tracking down Mrs. Calhoun was like trying to catch up with Paul Revere between Lexington and Concord . 
, He had to have fusion power to catch up with the skiff , and he had to have it fast . 
, Then , and only then , with the Jacksons and Dan as their true guests of honor , did the Harrows take time to catch up on the news . 
, `` Jackson recruited his critters , and him and me fixed up his wagon while we was waiting for you to catch up . 
, I let up on the accelerator , only to gradually reach again the 60 m.p.h. which would , I hoped , overhaul Herry and the blonde , and as there were cars whose drivers apparently had something more important to catch than had I, Boy , could she catch ! ! 
, They were clumsy , but they were beginning to catch on . 
]",0.3142857142857143,"[There were no `` casualties '' , but the `` guerrillas '' admitted to being `` a little tired '' when the leaders called a halt at 9 A.M. to enable out-of-town members to catch a plane . 
, Bob Carroll may not bear quite as close a physical resemblance to LaGuardia as Tom Bosley does , but I was amazed at the way he became more and more Fiorello as the evening progressed , until one had to catch one's self up and remember that this wasn't really LaGuardia come back among us again . 
, The aspects of physical development that catch the judges' eyes and which rightfully influence their decisions are symmetry and that hallmark of the true champion -- superior definition of the muscles . 
, Sometimes it takes several `` eatings '' of avocado to catch that delightful quality in taste that has made it such a favorite throughout the world . 
, Eventually the class will be able to kick up high enough so that the teacher can catch the leading leg . 
, Even then , if she took one step forward he could catch her . 
, The lioness quickly changed front , when she saw she couldn't catch Means , and made for Jones . 
, From above one could only occasionally catch a glimpse of life on the floor of this green sea : a neighbor's gingham skirt flashing into sight for an instant on the path beneath her grape-arbor , or the movement of hands above a clothesline and the flutter of garments hung there , half-way down the block . 
, On the other hand , the fictional detective does not break strikes or handle divorce cases ; ; 
At the same time , because the personal code of the detective coincides with the legal dictates of his society , because he likes to catch criminals , he is in middle class eyes a virtuous man . 
, The latter are either too stupid to catch the killer or too corrupt to care . 
, He opens his discourse , however , with a review of the Eisenhower inaugural festivities at which a sympathetic press had assembled its massive talents , all primed to catch some revelation of the emerging new age . 
, `` I must hurry to catch my train '' . 
, For if Serenissimus made the sign of the Cross with his right hand , and meant it , with his left he beckoned lewdly to any lady who happened to catch his eye . 
, District Attorney M. W. Mills warned that he would vigorously prosecute persons caught committing these crimes or carrying arms -- he just didn't catch anyone . 
, District Attorney M. W. Mills warned that he would vigorously prosecute persons caught committing these crimes or carrying arms -- he just didn't catch anyone . 
, `` If I catch you one more time down here without stockings '' -- 
Then he looked at his finger , at the wrinkled , heavy knuckle and the thick nail he used like a knife to pry up , slit , and open . 
, Gavin's lips moved so that Clayton had to stoop to catch the words . 
, He swung round to the other men -- `` We can catch him easy ! ! 
, I didn't catch a wink . 
, For a moment , she could not catch her breath and then , her breath returning in short , frightened spasms , she lifted herself to her feet laboriously . 
, Tom had been laying for Aaron McBride for a long time , just waiting to catch him out of line . 
, He'd hoped to catch Jesse Macklin there . 
, She had spent too many hours looking ahead , hoping and longing to catch even a glimpse of Dan and finding nothing but emptiness . 
, I felt myself tremble , thinking of the diamond light of that beauty I had held a few moments before , and I wanted to run down there and halt , if I could , that frenetic pirouette , catch the boy in the moment of his savagery , and save a glimmer , a remnant , of that which I remembered , but I knew it was already too late . 
]","-PRON-(4),glimpse(2),eye(2),anyone(2),word(1),wink(1),train(1),self(1),revelation(1),quality(1),plane(1),means(1),macklin(1),leg(1),killer(1),criminal(1),breath(1),boy(1),",24.0
spin,2.0,"coil(Verbs of Putting),build(Verbs of Creation and Transformation),performance(Verbs of Creation and Transformation),",,82,1.0,"[Slowly he pulled out the hand throttle until the boat was moving at little more than a crawl , and watched Elaine rapidly spin from one station to another , tune in the null , then draw in a line on the chart . 
]",1.0,[],,0.0
