verb,Levin_classes
bang,"funnel(Verbs of Putting),hit(Verbs of Contact by Impact),non-agentive impact(Verbs of Contact by Impact),sound emission(Verbs of Emission),"
rhapsodize,"marvel(Psych-Verbs),"
silver,"other change-of-state(Verbs of Change of State),"
bank,"pocket(Verbs of Putting),"
bread,"butter(Verbs of Putting),"
absolve,"cheat(Verbs of Removing),"
bonk,"spank(Verbs of Contact by Impact),"
roast,"preparing(Verbs of Creation and Transformation),cook(Verbs of Change of State),"
debug,"debone(Verbs of Removing),"
bone,"pit(Verbs of Removing),"
swathe,"fill(Verbs of Putting),"
carry,"carry(Verbs of Sending and Carrying),"
ameliorate,"other change-of-state(Verbs of Change of State),"
extract,"remove(Verbs of Removing),steal(Verbs of Removing),"
whip,"spank(Verbs of Contact by Impact),knead(Verbs of Creation and Transformation),"
depress,"amuse(Psych-Verbs),"
content,"amuse(Psych-Verbs),"
encourage,"amuse(Psych-Verbs),"
multiply,"other change-of-state(Verbs of Change of State),"
engrave,"image-impression(Image Creation Verbs),"
surprise,"amuse(Psych-Verbs),"
grease,"butter(Verbs of Putting),"
free,"cheat(Verbs of Removing),"
inscribe,"image-impression(Image Creation Verbs),"
polarize,"other change-of-state(Verbs of Change of State),"
putty,"butter(Verbs of Putting),"
abate,"other change-of-state(Verbs of Change of State),"
knit,"build(Verbs of Creation and Transformation),"
drench,"fill(Verbs of Putting),"
nitrify,"other change-of-state(Verbs of Change of State),"
rumple,"bend(Verbs of Change of State),"
louse,"pit(Verbs of Removing),"
scrounge,"hunt(Verbs of Searching),"
filter,"wipe(Verbs of Removing),"
fuse,"other change-of-state(Verbs of Change of State),"
fleck,"fill(Verbs of Putting),"
recite,"performance(Verbs of Creation and Transformation),"
organize,"create(Verbs of Creation and Transformation),"
render,"cheat(Verbs of Removing),give(Verbs of Change of Possession),"
ogle,"peer(Verbs of Perception),"
goggle,"peer(Verbs of Perception),"
reassure,"amuse(Psych-Verbs),"
bombard,"fill(Verbs of Putting),pelt(Verbs of Throwing),"
wash,"wipe(Verbs of Removing),preparing(Verbs of Creation and Transformation),"
synthesize,"create(Verbs of Creation and Transformation),"
guzzle,"gobble(Verbs of Ingesting),"
deplete,"cheat(Verbs of Removing),"
sober,"amuse(Psych-Verbs),other change-of-state(Verbs of Change of State),"
illustrate,"illustrate(Image Creation Verbs),"
discompose,"amuse(Psych-Verbs),"
top,"pit(Verbs of Removing),"
degum,"debone(Verbs of Removing),"
tow,"carry(Verbs of Sending and Carrying),"
vibrate,"other change-of-state(Verbs of Change of State),"
degut,"debone(Verbs of Removing),"
fumble,"rummage(Verbs of Searching),"
inflate,"other change-of-state(Verbs of Change of State),"
listen,"peer(Verbs of Perception),rummage(Verbs of Searching),"
decentralize,"other change-of-state(Verbs of Change of State),"
murder,"murder(Verbs of Killing),"
collapse,"other change-of-state(Verbs of Change of State),"
enthrall,"amuse(Psych-Verbs),"
serve,"give(Verbs of Change of Possession),fulfilling(Verbs of Change of Possession),"
embellish,"fill(Verbs of Putting),illustrate(Image Creation Verbs),"
toot,"sound emission(Verbs of Emission),"
sulphur,"butter(Verbs of Putting),"
gelatinize,"other change-of-state(Verbs of Change of State),"
affront,"amuse(Psych-Verbs),"
dredge,"search(Verbs of Searching),"
tree,"pocket(Verbs of Putting),"
shower,"spray/load(Verbs of Putting),pelt(Verbs of Throwing),"
matter,"appeal(Psych-Verbs),"
flame,"light emission(Verbs of Emission),"
iron,"wipe(Verbs of Removing),preparing(Verbs of Creation and Transformation),"
exorcise,"steal(Verbs of Removing),"
cork,"butter(Verbs of Putting),"
fashion,"build(Verbs of Creation and Transformation),"
rattle,"sound emission(Verbs of Emission),"
ram,"funnel(Verbs of Putting),non-agentive impact(Verbs of Contact by Impact),"
mind,"marvel(Psych-Verbs),"
mine,"mine(Verbs of Removing),hunt(Verbs of Searching),"
taint,"fill(Verbs of Putting),"
seed,"spray/load(Verbs of Putting),butter(Verbs of Putting),pit(Verbs of Removing),"
lull,"amuse(Psych-Verbs),"
rap,"hit(Verbs of Contact by Impact),"
cadge,"steal(Verbs of Removing),obtain(Verbs of Change of Possession),"
churn,"build(Verbs of Creation and Transformation),"
mint,"create(Verbs of Creation and Transformation),"
pop,"other change-of-state(Verbs of Change of State),"
hatch,"build(Verbs of Creation and Transformation),grow(Verbs of Creation and Transformation),"
quieten,"other change-of-state(Verbs of Change of State),"
hypnotize,"amuse(Psych-Verbs),"
letter,"illustrate(Image Creation Verbs),"
fluster,"amuse(Psych-Verbs),"
coil,"coil(Verbs of Putting),knead(Verbs of Creation and Transformation),"
coin,"create(Verbs of Creation and Transformation),"
crystalize,"other change-of-state(Verbs of Change of State),"
exonerate,"cheat(Verbs of Removing),"
alarm,"amuse(Psych-Verbs),"
partition,"remove(Verbs of Removing),"
demagnetize,"other change-of-state(Verbs of Change of State),"
nettle,"amuse(Psych-Verbs),"
declaw,"debone(Verbs of Removing),"
flog,"steal(Verbs of Removing),spank(Verbs of Contact by Impact),"
dot,"fill(Verbs of Putting),"
reserve,"get(Verbs of Change of Possession),"
bait,"butter(Verbs of Putting),"
inspire,"amuse(Psych-Verbs),"
probe,"search(Verbs of Searching),"
peddle,"give(Verbs of Change of Possession),"
bail,"wipe(Verbs of Removing),"
toast,"preparing(Verbs of Creation and Transformation),cook(Verbs of Change of State),"
peck,"swat(Verbs of Contact by Impact),touch(Verbs of Contact: Touch Verbs),chew(Verbs of Ingesting),"
sugar,"butter(Verbs of Putting),"
disgust,"amuse(Psych-Verbs),"
lodge,"putting(Verbs of Putting),pocket(Verbs of Putting),"
hoard,"keep(Hold and Keep Verbs),"
plate,"fill(Verbs of Putting),"
deforest,"debone(Verbs of Removing),"
stow,"putting(Verbs of Putting),"
watch,"sight(Verbs of Perception),search(Verbs of Searching),"
perceive,"sight(Verbs of Perception),"
baffle,"amuse(Psych-Verbs),"
relish,"admire(Psych-Verbs),"
slack,"other change-of-state(Verbs of Change of State),"
bat,"throw(Verbs of Throwing),"
patch,"butter(Verbs of Putting),"
bag,"pocket(Verbs of Putting),"
hasten,"other change-of-state(Verbs of Change of State),"
enchant,"amuse(Psych-Verbs),"
steam,"cook(Verbs of Change of State),"
deaccent,"debone(Verbs of Removing),"
pummel,"spank(Verbs of Contact by Impact),"
wrest,"steal(Verbs of Removing),"
ruffle,"amuse(Psych-Verbs),"
hammer,"funnel(Verbs of Putting),hit(Verbs of Contact by Impact),build(Verbs of Creation and Transformation),"
oven-poach,"cook(Verbs of Change of State),"
startle,"amuse(Psych-Verbs),"
irk,"amuse(Psych-Verbs),"
pirate,"steal(Verbs of Removing),"
extend,"contribute(Verbs of Change of Possession),"
wean,"cheat(Verbs of Removing),"
weary,"amuse(Psych-Verbs),"
emulsify,"other change-of-state(Verbs of Change of State),"
devour,"devour(Verbs of Ingesting),"
wear,"wipe(Verbs of Removing),"
unfold,"other change-of-state(Verbs of Change of State),"
steam-bake,"cook(Verbs of Change of State),"
excavate,"search(Verbs of Searching),"
improve,"other change-of-state(Verbs of Change of State),"
pity,"admire(Psych-Verbs),"
cop,"steal(Verbs of Removing),"
cow,"amuse(Psych-Verbs),"
disdain,"admire(Psych-Verbs),"
incense,"amuse(Psych-Verbs),"
disengage,"remove(Verbs of Removing),"
pith,"pit(Verbs of Removing),"
eradicate,"remove(Verbs of Removing),"
crucify,"poison(Verbs of Killing),"
widen,"other change-of-state(Verbs of Change of State),"
spear,"carve(Verbs of Cutting),"
agglomerate,"other change-of-state(Verbs of Change of State),"
dehull,"debone(Verbs of Removing),"
vitrify,"other change-of-state(Verbs of Change of State),"
trust,"fulfilling(Verbs of Change of Possession),admire(Psych-Verbs),"
tint,"color(Verbs of Coloring),"
bewilder,"amuse(Psych-Verbs),"
chrome,"butter(Verbs of Putting),"
slay,"murder(Verbs of Killing),"
subside,"other change-of-state(Verbs of Change of State),"
beep,"sound emission(Verbs of Emission),"
frisk,"investigate(Verbs of Searching),"
saute,"cook(Verbs of Change of State),"
silkscreen,"performance(Verbs of Creation and Transformation),"
fry,"preparing(Verbs of Creation and Transformation),cook(Verbs of Change of State),"
loft,"throw(Verbs of Throwing),"
spit,"pocket(Verbs of Putting),"
dismiss,"remove(Verbs of Removing),"
excite,"amuse(Psych-Verbs),"
disgruntle,"amuse(Psych-Verbs),"
lift,"putting-in-specified-direction(Verbs of Putting),steal(Verbs of Removing),"
hoist,"putting-in-specified-direction(Verbs of Putting),carry(Verbs of Sending and Carrying),"
catch,"get(Verbs of Change of Possession),"
deepen,"other change-of-state(Verbs of Change of State),"
spritz,"spray/load(Verbs of Putting),"
spin,"coil(Verbs of Putting),build(Verbs of Creation and Transformation),performance(Verbs of Creation and Transformation),"
chill,"amuse(Psych-Verbs),other change-of-state(Verbs of Change of State),"
sculpt,"build(Verbs of Creation and Transformation),"
iodize,"other change-of-state(Verbs of Change of State),"
schlep,"carry(Verbs of Sending and Carrying),"
lessen,"other change-of-state(Verbs of Change of State),"
air,"other change-of-state(Verbs of Change of State),"
thrash,"spank(Verbs of Contact by Impact),"
balance,"other change-of-state(Verbs of Change of State),"
mangle,"carve(Verbs of Cutting),"
study,"learn(Learn Verbs),sight(Verbs of Perception),"
cane,"spank(Verbs of Contact by Impact),"
sting,"touch(Verbs of Contact: Touch Verbs),amuse(Psych-Verbs),"
uplift,"amuse(Psych-Verbs),"
conk,"spank(Verbs of Contact by Impact),"
sever,"remove(Verbs of Removing),"
growl,"other change-of-state(Verbs of Change of State),calibratable change-of-state(Verbs of Change of State),"
sap,"cheat(Verbs of Removing),"
perform,"performance(Verbs of Creation and Transformation),"
pry,"remove(Verbs of Removing),"
make,"build(Verbs of Creation and Transformation),"
wound,"amuse(Psych-Verbs),"
split,"break(Verbs of Change of State),"
contaminate,"fill(Verbs of Putting),"
wheel,"drive(Verbs of Sending and Carrying),"
evolve,"grow(Verbs of Creation and Transformation),"
raid,"investigate(Verbs of Searching),"
swell,"entity-specific change-of-state(Verbs of Change of State),"
hang,"putting-in-spatial-config(Verbs of Putting),spray/load(Verbs of Putting),poison(Verbs of Killing),"
hand,"send(Verbs of Sending and Carrying),"
delight,"amuse(Psych-Verbs),"
americanize,"other change-of-state(Verbs of Change of State),"
descry,"sight(Verbs of Perception),"
postmark,"butter(Verbs of Putting),"
butter,"butter(Verbs of Putting),"
jangle,"sound emission(Verbs of Emission),"
tassel,"butter(Verbs of Putting),pit(Verbs of Removing),"
fatten,"other change-of-state(Verbs of Change of State),"
humble,"amuse(Psych-Verbs),"
drip,"pour(Verbs of Putting),"
inherit,"obtain(Verbs of Change of Possession),"
bereave,"cheat(Verbs of Removing),"
appease,"amuse(Psych-Verbs),"
distribute,"contribute(Verbs of Change of Possession),"
bruise,"carve(Verbs of Cutting),"
dehead,"debone(Verbs of Removing),"
enlighten,"amuse(Psych-Verbs),"
awaken,"other change-of-state(Verbs of Change of State),"
nudge,"throw(Verbs of Throwing),touch(Verbs of Contact: Touch Verbs),"
interweave,"fill(Verbs of Putting),"
short-circuit,"other change-of-state(Verbs of Change of State),"
ease,"cheat(Verbs of Removing),other change-of-state(Verbs of Change of State),"
exalt,"admire(Psych-Verbs),"
spread,"spray/load(Verbs of Putting),"
board,"butter(Verbs of Putting),"
save,"get(Verbs of Change of Possession),"
singe,"other change-of-state(Verbs of Change of State),"
barge,"drive(Verbs of Sending and Carrying),"
shadow,"chase(Verbs of Motion),"
shoulder,"pocket(Verbs of Putting),"
elude,"avoid(Avoid Verbs),"
rustle,"steal(Verbs of Removing),sound emission(Verbs of Emission),"
swill,"devour(Verbs of Ingesting),"
hunt,"hunt(Verbs of Searching),"
crowd,"spray/load(Verbs of Putting),"
flatter,"amuse(Psych-Verbs),"
crown,"butter(Verbs of Putting),"
sponge,"wipe(Verbs of Removing),steal(Verbs of Removing),"
rile,"amuse(Psych-Verbs),"
scrabble,"rummage(Verbs of Searching),"
flatten,"other change-of-state(Verbs of Change of State),"
escape,"inherently directed motion(Verbs of Motion),"
pain,"amuse(Psych-Verbs),"
advertise,"search(Verbs of Searching),"
purple,"other change-of-state(Verbs of Change of State),"
flare,"light emission(Verbs of Emission),"
jolt,"amuse(Psych-Verbs),"
microwave,"cook(Verbs of Change of State),"
overcook,"cook(Verbs of Change of State),"
germinate,"entity-specific change-of-state(Verbs of Change of State),"
peek,"peer(Verbs of Perception),"
peel,"pit(Verbs of Removing),"
burl,"pit(Verbs of Removing),"
burn,"light emission(Verbs of Emission),other change-of-state(Verbs of Change of State),entity-specific change-of-state(Verbs of Change of State),"
overhear,"sight(Verbs of Perception),"
ply,"equip(Verbs of Change of Possession),"
procure,"get(Verbs of Change of Possession),"
sift,"search(Verbs of Searching),"
yoke,"butter(Verbs of Putting),"
bolt,"gobble(Verbs of Ingesting),"
peep,"peer(Verbs of Perception),"
shuck,"pit(Verbs of Removing),"
plug,"fill(Verbs of Putting),"
conceal,"conceal(Verbs of Concealment),"
choke,"fill(Verbs of Putting),"
surround,"fill(Verbs of Putting),"
caulk,"butter(Verbs of Putting),"
cherish,"admire(Psych-Verbs),"
mantle,"butter(Verbs of Putting),"
dehusk,"debone(Verbs of Removing),"
puzzle,"amuse(Psych-Verbs),"
float,"slide(Verbs of Sending and Carrying),"
administer,"contribute(Verbs of Change of Possession),"
slurp,"chew(Verbs of Ingesting),"
sow,"spray/load(Verbs of Putting),"
wrap,"spray/load(Verbs of Putting),"
chime,"sound emission(Verbs of Emission),"
support,"admire(Psych-Verbs),"
initial,"illustrate(Image Creation Verbs),"
transform,"turn(Verbs of Creation and Transformation),"
intone,"performance(Verbs of Creation and Transformation),"
handfeed,"feeding(Verbs of Ingesting),"
wax,"butter(Verbs of Putting),"
tamp,"hit(Verbs of Contact by Impact),"
fork,"pocket(Verbs of Putting),"
head,"pit(Verbs of Removing),"
form,"create(Verbs of Creation and Transformation),"
heal,"other change-of-state(Verbs of Change of State),"
heat,"cook(Verbs of Change of State),other change-of-state(Verbs of Change of State),"
hear,"see(Verbs of Perception),"
diaper,"butter(Verbs of Putting),"
heap,"spray/load(Verbs of Putting),"
choreograph,"performance(Verbs of Creation and Transformation),"
surrender,"contribute(Verbs of Change of Possession),"
humiliate,"amuse(Psych-Verbs),"
prowl,"search(Verbs of Searching),"
adore,"admire(Psych-Verbs),"
decorate,"fill(Verbs of Putting),illustrate(Image Creation Verbs),"
delete,"remove(Verbs of Removing),"
trim,"fill(Verbs of Putting),wipe(Verbs of Removing),"
disgrace,"amuse(Psych-Verbs),"
toss,"throw(Verbs of Throwing),preparing(Verbs of Creation and Transformation),"
abstract,"remove(Verbs of Removing),"
sidestep,"avoid(Avoid Verbs),"
unnerve,"amuse(Psych-Verbs),"
crumble,"bend(Verbs of Change of State),other change-of-state(Verbs of Change of State),"
soothe,"amuse(Psych-Verbs),"
scrawl,"scribble(Image Creation Verbs),"
revitalize,"amuse(Psych-Verbs),"
splotch,"fill(Verbs of Putting),"
ship,"send(Verbs of Sending and Carrying),"
dent,"carve(Verbs of Cutting),"
mold,"build(Verbs of Creation and Transformation),"
check,"peer(Verbs of Perception),search(Verbs of Searching),"
leer,"peer(Verbs of Perception),"
floor,"amuse(Psych-Verbs),"
molt,"entity-specific change-of-state(Verbs of Change of State),"
relax,"amuse(Psych-Verbs),"
tip,"throw(Verbs of Throwing),"
distres,"amuse(Psych-Verbs),"
flood,"fill(Verbs of Putting),other change-of-state(Verbs of Change of State),"
tin,"pocket(Verbs of Putting),"
warehouse,"pocket(Verbs of Putting),"
smell,"see(Verbs of Perception),stimulus-subject perception(Verbs of Perception),stalk(Verbs of Searching),"
roll,"coil(Verbs of Putting),slide(Verbs of Sending and Carrying),build(Verbs of Creation and Transformation),preparing(Verbs of Creation and Transformation),"
sling,"putting(Verbs of Putting),throw(Verbs of Throwing),"
liquidate,"murder(Verbs of Killing),"
discharge,"remove(Verbs of Removing),"
entrust,"fulfilling(Verbs of Change of Possession),"
faze,"amuse(Psych-Verbs),"
push,"funnel(Verbs of Putting),carry(Verbs of Sending and Carrying),"
decelerate,"other change-of-state(Verbs of Change of State),"
intoxicate,"amuse(Psych-Verbs),"
dispirit,"amuse(Psych-Verbs),"
dance,"performance(Verbs of Creation and Transformation),"
rob,"cheat(Verbs of Removing),"
relieve,"cheat(Verbs of Removing),amuse(Psych-Verbs),"
invent,"create(Verbs of Creation and Transformation),"
snip,"cut(Verbs of Cutting),"
skim,"wipe(Verbs of Removing),"
skin,"pit(Verbs of Removing),"
forcefeed,"feeding(Verbs of Ingesting),"
milk,"cheat(Verbs of Removing),pit(Verbs of Removing),"
discern,"see(Verbs of Perception),"
varnish,"color(Verbs of Coloring),"
scribble,"scribble(Image Creation Verbs),"
swoon,"marvel(Psych-Verbs),"
whirl,"coil(Verbs of Putting),"
vex,"amuse(Psych-Verbs),"
amaze,"amuse(Psych-Verbs),"
charge,"equip(Verbs of Change of Possession),"
compensate,"equip(Verbs of Change of Possession),"
unburden,"cheat(Verbs of Removing),"
simmer,"cook(Verbs of Change of State),"
encircle,"fill(Verbs of Putting),"
coop,"pocket(Verbs of Putting),"
string,"spray/load(Verbs of Putting),butter(Verbs of Putting),pocket(Verbs of Putting),pit(Verbs of Removing),"
jerk,"push/pull(Verbs of Exerting Force: Push/Pull Verbs),"
harmonize,"other change-of-state(Verbs of Change of State),"
berth,"pocket(Verbs of Putting),"
mourn,"admire(Psych-Verbs),"
cook,"build(Verbs of Creation and Transformation),preparing(Verbs of Creation and Transformation),cook(Verbs of Change of State),"
trouble,"amuse(Psych-Verbs),"
blast,"sound emission(Verbs of Emission),other change-of-state(Verbs of Change of State),"
exact,"obtain(Verbs of Change of Possession),"
cool,"other change-of-state(Verbs of Change of State),"
stiffen,"other change-of-state(Verbs of Change of State),"
level,"other change-of-state(Verbs of Change of State),"
tear,"break(Verbs of Change of State),"
dig,"poke(Poke Verbs),create(Verbs of Creation and Transformation),hunt(Verbs of Searching),"
enthuse,"amuse(Psych-Verbs),marvel(Psych-Verbs),"
charcoal,"scribble(Image Creation Verbs),"
leave,"fulfilling(Verbs of Change of Possession),get(Verbs of Change of Possession),keep(Hold and Keep Verbs),inherently directed motion(Verbs of Motion),"
pursue,"chase(Verbs of Motion),"
settle,"spray/load(Verbs of Putting),"
gut,"pit(Verbs of Removing),"
skewer,"pocket(Verbs of Putting),"
dip,"funnel(Verbs of Putting),"
blur,"other change-of-state(Verbs of Change of State),"
shave,"wipe(Verbs of Removing),"
gasify,"other change-of-state(Verbs of Change of State),"
plummet,"calibratable change-of-state(Verbs of Change of State),"
regret,"admire(Psych-Verbs),"
core,"pit(Verbs of Removing),"
discover,"sight(Verbs of Perception),"
agitate,"amuse(Psych-Verbs),"
cosh,"spank(Verbs of Contact by Impact),"
stupefy,"amuse(Psych-Verbs),"
bake,"build(Verbs of Creation and Transformation),preparing(Verbs of Creation and Transformation),cook(Verbs of Change of State),"
port,"send(Verbs of Sending and Carrying),"
substitute,"exchange(Verbs of Change of Possession),"
rissole,"cook(Verbs of Change of State),"
melt,"knead(Verbs of Creation and Transformation),other change-of-state(Verbs of Change of State),"
tarmac,"butter(Verbs of Putting),"
appeal,"appeal(Psych-Verbs),"
satisfy,"amuse(Psych-Verbs),"
envy,"admire(Psych-Verbs),"
gawk,"peer(Verbs of Perception),"
water,"butter(Verbs of Putting),"
derib,"debone(Verbs of Removing),"
dewax,"debone(Verbs of Removing),"
entertain,"amuse(Psych-Verbs),"
address,"illustrate(Image Creation Verbs),"
stem,"pit(Verbs of Removing),"
change,"exchange(Verbs of Change of Possession),turn(Verbs of Creation and Transformation),other change-of-state(Verbs of Change of State),"
box,"pocket(Verbs of Putting),"
shift,"send(Verbs of Sending and Carrying),"
detonate,"other change-of-state(Verbs of Change of State),"
reclaim,"steal(Verbs of Removing),"
love,"admire(Psych-Verbs),"
plumb,"search(Verbs of Searching),"
abash,"amuse(Psych-Verbs),"
ossify,"other change-of-state(Verbs of Change of State),"
post,"send(Verbs of Sending and Carrying),"
concoct,"create(Verbs of Creation and Transformation),"
perk,"cook(Verbs of Change of State),"
captivate,"amuse(Psych-Verbs),"
dangle,"putting-in-spatial-config(Verbs of Putting),"
visit,"meet(Verbs of Social Interaction),"
ravage,"destroy(Destroy Verbs),"
sharpen,"other change-of-state(Verbs of Change of State),"
dismay,"amuse(Psych-Verbs),"
entrance,"amuse(Psych-Verbs),"
club,"spank(Verbs of Contact by Impact),"
deluster,"debone(Verbs of Removing),"
drown,"poison(Verbs of Killing),"
degrade,"other change-of-state(Verbs of Change of State),"
robe,"fill(Verbs of Putting),butter(Verbs of Putting),"
fly,"drive(Verbs of Sending and Carrying),"
demolish,"amuse(Psych-Verbs),destroy(Destroy Verbs),"
cap,"butter(Verbs of Putting),"
purge,"wipe(Verbs of Removing),cheat(Verbs of Removing),"
sour,"other change-of-state(Verbs of Change of State),"
can,"pocket(Verbs of Putting),"
dispossess,"cheat(Verbs of Removing),"
